rule_id;rule_type;source_cd_ref;source_unit;target_cd_ref;target_unit;weight;enabled;degree_confusion;comment
iso_015;species_confusion;1012421;Armadillidium arcangelii;18829;Armadillidium vulgare;1;TRUE;2;Direct expert target: Armadillidium vulgare (juveniles noted by expert)
iso_016;species_confusion;237022;Armadillidium opacum;18829;Armadillidium vulgare;1;TRUE;3;Direct expert target: Armadillidium vulgare
iso_007;species_confusion;237023;Armadillidium pictum;237025;Armadillidium pulchellum;1;TRUE;2;Direct expert target: Armadillidium pulchellum
iso_006;species_confusion;237025;Armadillidium pulchellum;237023;Armadillidium pictum;1;TRUE;2;Direct expert target: Armadillidium pictum
iso_004;species_confusion;237055;Chaetophiloscia elongata;202726;Chaetophiloscia;1;TRUE;2;Expert term 'autres Chaetophiloscia'
iso_021;species_confusion;237057;Chaetophiloscia sicula;202726;Chaetophiloscia;1;TRUE;2;Expert term 'autres Chaetophiloscia'
iso_011;species_confusion;237081;Lucasius pallidus;18820;Porcellio scaber;1;TRUE;2;Direct expert target: Porcellio scaber
iso_029;genus_confusion;202778;Oritoniscus;202796;Trichoniscoides;1;TRUE;2;Genus-complex target
iso_030;genus_confusion;202778;Oritoniscus;202772;Phymatoniscus;1;TRUE;2;Genus-complex target
iso_028;reporting_rule;237166;Oritoniscus remyi;202778;Oritoniscus;1;TRUE;2;Expert term 'Oritoniscus'
iso_022;reporting_rule;311068;Orthometopon planum;202745;Porcellionides;1;TRUE;2;Expert term 'Porcellionides'
iso_012;species_confusion;237060;Philoscia affinis;237061;Philoscia muscorum;1;TRUE;2;Direct expert target: Philoscia muscorum
iso_001;species_confusion;237061;Philoscia muscorum;237060;Philoscia affinis;1;TRUE;2;Direct expert target: Philoscia affinis
iso_033;genus_confusion;202772;Phymatoniscus;202778;Oritoniscus;1;TRUE;2;Genus-complex target
iso_034;genus_confusion;202772;Phymatoniscus;202796;Trichoniscoides;1;TRUE;2;Genus-complex target
iso_035;genus_confusion;196581;Porcellio;215043;Trachelipus;1;TRUE;2;Genus-complex target
iso_018;species_confusion;237093;Porcellio montanus;237094;Porcellio monticola;1;TRUE;2;Direct expert target: Porcellio monticola
iso_005;species_confusion;237094;Porcellio monticola;237114;Trachelipus rathkii;1;TRUE;2;Direct expert target: Trachelipus rathkii
iso_019;reporting_rule;310987;Porcellionides cingendus;202745;Porcellionides;1;TRUE;2;Expert term 'autres Porcellionides'
iso_020;species_confusion;310987;Porcellionides cingendus;311068;Orthometopon planum;1;TRUE;2;Direct expert target: Orthometopon planum
iso_017;species_confusion;237103;Porcellionides sexfasciatus;311068;Orthometopon planum;1;TRUE;2;Direct expert target: Orthometopon planum
iso_026;rtu_confusion;1044079;Tiroloscia exigua;202731;Philoscia;1;TRUE;2;Expert term 'Philoscia'
iso_027;reporting_rule;1044079;Tiroloscia exigua;202732;Tiroloscia;1;TRUE;2;Expert term 'autres Tiroloscia'
iso_023;species_confusion;310804;Tiroloscia pyrenaica;237061;Philoscia muscorum;1;TRUE;2;Expert term 'Philoscia'
iso_024;species_confusion;310804;Tiroloscia pyrenaica;237060;Philoscia affinis;1;TRUE;2;Expert term 'Philoscia'
iso_025;species_confusion;310804;Tiroloscia pyrenaica;1044079;Tiroloscia exigua;1;TRUE;2;Expert term 'autres Tiroloscia'
iso_002;species_confusion;237114;Trachelipus rathkii;18820;Porcellio scaber;1;TRUE;2;Direct expert target: Porcellio scaber
iso_003;species_confusion;237114;Trachelipus rathkii;237094;Porcellio monticola;1;TRUE;2;Direct expert target: Porcellio monticola (P. monticola)
iso_008;species_confusion;311119;Trachelipus razzautii;237094;Porcellio monticola;1;TRUE;2;Direct expert target: Porcellio monticola
iso_031;genus_confusion;202796;Trichoniscoides;202778;Oritoniscus;1;TRUE;2;Genus-complex target
iso_032;genus_confusion;202796;Trichoniscoides;202778;Phymatoniscus;1;TRUE;2;Genus-complex target
iso_013;species_confusion;237210;Trichoniscus provisorius;237211;Trichoniscus pusillus;1;TRUE;1;Species-complex target
iso_014;species_confusion;237210;Trichoniscus provisorius;808686;Trichoniscus aticola;1;TRUE;1;Species-complex target
iso_009;species_confusion;237211;Trichoniscus pusillus;237210;Trichoniscus provisorius;1;TRUE;1;Species-complex target
iso_010;species_confusion;237211;Trichoniscus pusillus;808686;Trichoniscus alticola;1;TRUE;1;Species-complex target
