source_taxon_unit,source_label,source_genus,target_taxon_unit,target_label,target_genus,target_origin,weight,enabled,review_note,comment
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215799,Ceratophysella armata,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:884270,Ceratophysella cavicola,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215801,Ceratophysella cylindrica,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdnom:215802,Ceratophysella denticulata,Ceratophysella,observed_RMQS,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215803,Ceratophysella engadinensis,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215805,Ceratophysella granulata,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:884274,Ceratophysella longispina,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:254450,Ceratophysella luteospina,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215806,Ceratophysella norensis,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215807,Ceratophysella penicillifer,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:254458,Ceratophysella sigillata,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:1003485,Ceratophysella stercoraria,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215810,Ceratophysella succinea,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215811,Ceratophysella tergilobata,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,species:cdref:215812,Ceratophysella tuberculata,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215802,Ceratophysella denticulata,Ceratophysella,species:cdref:215799,Ceratophysella armata,Ceratophysella,TAXREF_mainland,1,FALSE,Species complex; expert review required,NA
species:cdnom:215802,Ceratophysella denticulata,Ceratophysella,species:cdnom:215800,Ceratophysella bengtssoni,Ceratophysella,observed_RMQS,1,FALSE,Species complex; expert review required,NA
