station,total_abundance,rtu_richness,assemblage_id,group_label,method,detected
1030,237,19,araneae_pitfall,Araneae,pitfall-trap,TRUE
1058,104,16,araneae_pitfall,Araneae,pitfall-trap,TRUE
1090,79,20,araneae_pitfall,Araneae,pitfall-trap,TRUE
1141,481,22,araneae_pitfall,Araneae,pitfall-trap,TRUE
1166,173,21,araneae_pitfall,Araneae,pitfall-trap,TRUE
1174,254,39,araneae_pitfall,Araneae,pitfall-trap,TRUE
1180,336,25,araneae_pitfall,Araneae,pitfall-trap,TRUE
1237,165,35,araneae_pitfall,Araneae,pitfall-trap,TRUE
1243,33,10,araneae_pitfall,Araneae,pitfall-trap,TRUE
1274,153,27,araneae_pitfall,Araneae,pitfall-trap,TRUE
1310,204,17,araneae_pitfall,Araneae,pitfall-trap,TRUE
1366,37,9,araneae_pitfall,Araneae,pitfall-trap,TRUE
137,0,0,araneae_pitfall,Araneae,pitfall-trap,FALSE
1372,137,20,araneae_pitfall,Araneae,pitfall-trap,TRUE
1464,55,22,araneae_pitfall,Araneae,pitfall-trap,TRUE
1477,61,14,araneae_pitfall,Araneae,pitfall-trap,TRUE
1491,40,10,araneae_pitfall,Araneae,pitfall-trap,TRUE
152,706,17,araneae_pitfall,Araneae,pitfall-trap,TRUE
1537,140,18,araneae_pitfall,Araneae,pitfall-trap,TRUE
1549,165,39,araneae_pitfall,Araneae,pitfall-trap,TRUE
1556,18,12,araneae_pitfall,Araneae,pitfall-trap,TRUE
157,289,17,araneae_pitfall,Araneae,pitfall-trap,TRUE
1587,42,16,araneae_pitfall,Araneae,pitfall-trap,TRUE
1660,302,19,araneae_pitfall,Araneae,pitfall-trap,TRUE
1677,330,19,araneae_pitfall,Araneae,pitfall-trap,TRUE
1686,57,20,araneae_pitfall,Araneae,pitfall-trap,TRUE
1694,4,4,araneae_pitfall,Araneae,pitfall-trap,TRUE
1706,184,10,araneae_pitfall,Araneae,pitfall-trap,TRUE
1768,38,22,araneae_pitfall,Araneae,pitfall-trap,TRUE
1826,153,24,araneae_pitfall,Araneae,pitfall-trap,TRUE
1837,366,40,araneae_pitfall,Araneae,pitfall-trap,TRUE
1875,281,19,araneae_pitfall,Araneae,pitfall-trap,TRUE
1887,40,15,araneae_pitfall,Araneae,pitfall-trap,TRUE
1893,3,3,araneae_pitfall,Araneae,pitfall-trap,TRUE
1992,49,22,araneae_pitfall,Araneae,pitfall-trap,TRUE
1996,15,10,araneae_pitfall,Araneae,pitfall-trap,TRUE
2011,318,22,araneae_pitfall,Araneae,pitfall-trap,TRUE
2021,72,17,araneae_pitfall,Araneae,pitfall-trap,TRUE
2034,14,8,araneae_pitfall,Araneae,pitfall-trap,TRUE
2076,32,13,araneae_pitfall,Araneae,pitfall-trap,TRUE
215,99,29,araneae_pitfall,Araneae,pitfall-trap,TRUE
2182,18,11,araneae_pitfall,Araneae,pitfall-trap,TRUE
2205,14,7,araneae_pitfall,Araneae,pitfall-trap,TRUE
223,521,22,araneae_pitfall,Araneae,pitfall-trap,TRUE
2257,33,12,araneae_pitfall,Araneae,pitfall-trap,TRUE
2260,3,3,araneae_pitfall,Araneae,pitfall-trap,TRUE
2276,1,1,araneae_pitfall,Araneae,pitfall-trap,TRUE
2312,79,14,araneae_pitfall,Araneae,pitfall-trap,TRUE
288,108,23,araneae_pitfall,Araneae,pitfall-trap,TRUE
291,203,11,araneae_pitfall,Araneae,pitfall-trap,TRUE
391,42,9,araneae_pitfall,Araneae,pitfall-trap,TRUE
400,33,10,araneae_pitfall,Araneae,pitfall-trap,TRUE
408,55,13,araneae_pitfall,Araneae,pitfall-trap,TRUE
423,184,17,araneae_pitfall,Araneae,pitfall-trap,TRUE
476,57,16,araneae_pitfall,Araneae,pitfall-trap,TRUE
609,137,15,araneae_pitfall,Araneae,pitfall-trap,TRUE
620,192,20,araneae_pitfall,Araneae,pitfall-trap,TRUE
633,11,7,araneae_pitfall,Araneae,pitfall-trap,TRUE
644,62,15,araneae_pitfall,Araneae,pitfall-trap,TRUE
730,55,17,araneae_pitfall,Araneae,pitfall-trap,TRUE
788,381,22,araneae_pitfall,Araneae,pitfall-trap,TRUE
792,45,15,araneae_pitfall,Araneae,pitfall-trap,TRUE
805,70,19,araneae_pitfall,Araneae,pitfall-trap,TRUE
812,98,14,araneae_pitfall,Araneae,pitfall-trap,TRUE
827,221,30,araneae_pitfall,Araneae,pitfall-trap,TRUE
870,29,15,araneae_pitfall,Araneae,pitfall-trap,TRUE
926,11,9,araneae_pitfall,Araneae,pitfall-trap,TRUE
