station,taxon_unit,abundance
1030,genus:Acupalpus,1
1030,genus:Agonum,3
1030,genus:Amara,16
1030,genus:Anchomenus,6
1030,genus:Asaphidion,2
1030,genus:Bembidion,2
1030,genus:Brachinus,27
1030,genus:Harpalus,1
1030,genus:Loricera,2
1030,genus:Nebria,27
1030,genus:Notiophilus,27
1030,genus:Poecilus,494
1030,genus:Trechus,2
1058,genus:Agonum,11
1058,genus:Amara,1
1058,genus:Anchomenus,87
1058,genus:Asaphidion,2
1058,genus:Bembidion,6
1058,genus:Clivina,1
1058,genus:Demetrias,2
1058,genus:Harpalus,10
1058,genus:Loricera,2
1058,genus:Nebria,5
1058,genus:Notiophilus,6
1058,genus:Poecilus,31
1058,genus:Pseudoophonus,1
1058,genus:Pterostichus,1
1058,genus:Semiophonus,1
1090,genus:Anchomenus,9
1090,genus:Brachinus,221
1090,genus:Carabus,4
1090,genus:Diachromus,1
1090,genus:Gynandromorphus,10
1090,genus:Harpalus,19
1090,genus:Notiophilus,1
1090,genus:Poecilus,1061
1141,genus:Amara,3
1141,genus:Anchomenus,1
1141,genus:Carabus,1
1141,genus:Harpalus,7
1141,genus:Poecilus,92
1166,genus:Anchomenus,3
1166,genus:Calathus,2
1166,genus:Cicindela,2
1166,genus:Harpalus,31
1166,genus:Nebria,5
1166,genus:Notiophilus,8
1166,genus:Poecilus,59
1174,genus:Amara,6
1174,genus:Calathus,1
1174,genus:Harpalus,83
1174,genus:Parophonus,1
1180,genus:Agonum,13
1180,genus:Amara,13
1180,genus:Anchomenus,122
1180,genus:Bembidion,1
1180,genus:Brachinus,5
1180,genus:Carabus,3
1180,genus:Clivina,1
1180,genus:Harpalus,117
1180,genus:Loricera,2
1180,genus:Nebria,1
1180,genus:Notiophilus,29
1180,genus:Poecilus,597
1180,genus:Trechus,3
1237,genus:Bembidion,12
1237,genus:Brachinus,2
1237,genus:Harpalus,1
1237,genus:Nebria,4
1237,genus:Poecilus,3
1237,genus:Pterostichus,1
1237,genus:Tachys,2
1243,genus:Amara,1
1243,genus:Anchomenus,10
1243,genus:Brachinus,6
1243,genus:Harpalus,2
1243,genus:Nebria,8
1243,genus:Notiophilus,6
1243,genus:Poecilus,205
1243,genus:Pterostichus,1
1243,genus:Trechus,10
1274,genus:Abax,1
1274,genus:Amara,3
1274,genus:Bembidion,19
1274,genus:Brachinus,6
1274,genus:Harpalus,9
1274,genus:Molops,1
1274,genus:Nebria,4
1274,genus:Parophonus,1
1274,genus:Poecilus,30
1274,genus:Pterostichus,4
1274,genus:Tachys,1
1310,genus:Harpalus,7
1310,genus:Notiophilus,4
1310,genus:Ophonus,2
1310,genus:Parophonus,1
1310,genus:Poecilus,6
1366,genus:Anchomenus,3
1366,genus:Badister,2
1366,genus:Harpalus,2
1366,genus:Notiophilus,28
1366,genus:Poecilus,9
1366,genus:Trechus,1
137,genus:Agonum,2
137,genus:Anchomenus,16
137,genus:Asaphidion,7
137,genus:Bembidion,41
137,genus:Brachinus,1
137,genus:Demetrias,4
137,genus:Harpalus,36
137,genus:Loricera,24
137,genus:Nebria,1
137,genus:Notiophilus,19
137,genus:Poecilus,220
137,genus:Pseudoophonus,11
137,genus:Pterostichus,120
137,genus:Syntomus,1
137,genus:Trechus,3
1372,genus:Abax,2
1372,genus:Calosoma,2
1372,genus:Carabus,12
1372,genus:Harpalus,1
1372,genus:Nebria,4
1372,genus:Notiophilus,1
1372,genus:Pterostichus,1
1372,genus:Trechus,1
1464,genus:Abax,23
1464,genus:Carabus,30
1464,genus:Cychrus,4
1464,genus:Harpalus,5
1464,genus:Pterostichus,16
1477,genus:Anchomenus,4
1477,genus:Asaphidion,8
1477,genus:Bembidion,11
1477,genus:Brachinus,3
1477,genus:Chlaenius,2
1477,genus:Nebria,3
1477,genus:Platynus,1
1477,genus:Poecilus,1
1477,genus:Pterostichus,2
1477,genus:Tachyura,1
1491,genus:Carabus,2
1491,genus:Nebria,1
1491,genus:Poecilus,11
152,genus:Agonum,14
152,genus:Amara,10
152,genus:Asaphidion,1
152,genus:Bembidion,110
152,genus:Clivina,3
152,genus:Loricera,3
152,genus:Nebria,32
152,genus:Notiophilus,1
152,genus:Poecilus,69
152,genus:Pterostichus,1
152,genus:Trechus,1
1537,genus:Amara,1
1537,genus:Anchomenus,4
1537,genus:Harpalus,13
1537,genus:Loricera,1
1537,genus:Nebria,8
1537,genus:Parophonus,1
1537,genus:Poecilus,10
1537,genus:Trechus,4
1549,genus:Abax,12
1549,genus:Amara,3
1549,genus:Brachinus,1
1549,genus:Calathus,2
