taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:9291,species:cdnom:9291,genus:Anisodactylus,family:Carabidae,species,cdnom:9291,Anisodactylus binotatus,Anisodactylus,Carabidae,Coleoptera,Insecta,"Anisodactylus binotatus (Fabricius, 1787)",Anisodactylus binotatus
species:cdnom:222447,species:cdnom:222447,genus:Harpalus,family:Carabidae,species,cdnom:222447,Harpalus dispar,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus dispar Dejean, 1829",Harpalus dispar
species:cdnom:222448,species:cdnom:222448,genus:Harpalus,family:Carabidae,species,cdnom:222448,Harpalus punctatostriatus,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus punctatostriatus Dejean, 1829",Harpalus punctatostriatus
species:cdnom:9304,species:cdnom:9304,genus:Harpalus,family:Carabidae,species,cdnom:9304,Harpalus dimidiatus,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus dimidiatus (Rossi, 1790)",Harpalus dimidiatus
species:cdnom:222579,species:cdnom:222579,genus:Pterostichus,family:Carabidae,species,cdnom:222579,Pterostichus madidus,Pterostichus,Carabidae,Coleoptera,Insecta,"Pterostichus madidus (Fabricius, 1775)",Pterostichus madidus
species:cdnom:222607,species:cdnom:222607,genus:Abax,family:Carabidae,species,cdnom:222607,Abax parallelepipedus,Abax,Carabidae,Coleoptera,Insecta,"Abax parallelepipedus (Piller & Mitterpacher, 1783)",Abax parallelepipedus
species:cdnom:8369,species:cdnom:8369,genus:Carabus,family:Carabidae,species,cdnom:8369,Carabus auronitens,Carabus,Carabidae,Coleoptera,Insecta,"Carabus auronitens Fabricius, 1792",Carabus auronitens
species:cdnom:8428,species:cdnom:8428,genus:Carabus,family:Carabidae,species,cdnom:8428,Carabus problematicus,Carabus,Carabidae,Coleoptera,Insecta,"Carabus problematicus Herbst, 1786",Carabus problematicus
species:cdnom:8347,species:cdnom:8347,genus:Cychrus,family:Carabidae,species,cdnom:8347,Cychrus attenuatus,Cychrus,Carabidae,Coleoptera,Insecta,"Cychrus attenuatus (Fabricius, 1792)",Cychrus attenuatus
species:cdnom:222455,species:cdnom:222455,genus:Harpalus,family:Carabidae,species,cdnom:222455,Harpalus laevipes,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus laevipes Zetterstedt, 1828",Harpalus laevipes
species:cdnom:9100,species:cdnom:9100,genus:Pterostichus,family:Carabidae,species,cdnom:9100,Pterostichus oblongopunctatus,Pterostichus,Carabidae,Coleoptera,Insecta,"Pterostichus oblongopunctatus (Fabricius, 1787)",Pterostichus oblongopunctatus
species:cdnom:8381,species:cdnom:8381,genus:Carabus,family:Carabidae,species,cdnom:8381,Carabus convexus,Carabus,Carabidae,Coleoptera,Insecta,"Carabus convexus Fabricius, 1775",Carabus convexus
species:cdnom:9327,species:cdnom:9327,genus:Harpalus,family:Carabidae,species,cdnom:9327,Harpalus rubripes,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus rubripes (Duftschmid, 1812)",Harpalus rubripes
species:cdnom:9157,species:cdnom:9157,genus:Abax,family:Carabidae,species,cdnom:9157,Abax ovalis,Abax,Carabidae,Coleoptera,Insecta,"Abax ovalis (Duftschmid, 1812)",Abax ovalis
species:cdnom:9158,species:cdnom:9158,genus:Abax,family:Carabidae,species,cdnom:9158,Abax parallelus,Abax,Carabidae,Coleoptera,Insecta,"Abax parallelus (Duftschmid, 1812)",Abax parallelus
species:cdnom:8410,species:cdnom:8410,genus:Carabus,family:Carabidae,species,cdnom:8410,Carabus nemoralis,Carabus,Carabidae,Coleoptera,Insecta,"Carabus nemoralis O.F. Müller, 1764",Carabus nemoralis
species:cdnom:8503,species:cdnom:8503,genus:Leistus,family:Carabidae,species,cdnom:8503,Leistus spinibarbis,Leistus,Carabidae,Coleoptera,Insecta,"Leistus spinibarbis (Fabricius, 1775)",Leistus spinibarbis
