station,taxon_unit,abundance
1030,genus:Folsomia,1
1030,genus:Friesea,2
1030,genus:Isotoma,1
1030,genus:Isotomurus,196
1030,genus:Parisotoma,4
1030,genus:Proisotoma,1
1030,genus:Pseudosinella,1
1058,genus:Friesea,1
1058,genus:Heteromurus,1
1058,genus:Isotoma,4
1058,genus:Isotomiella,1
1058,genus:Isotomurus,7
1058,genus:Pseudosinella,2
1064,genus:Ceratophysella,7
1064,genus:Detriturus,4
1064,genus:Folsomia,15
1064,genus:Isotomiella,3
1064,genus:Metaphorura,2
1064,genus:Paratullbergia,5
1090,genus:Hypogastrura,2
1090,genus:Isotoma,3
1090,genus:Isotomurus,3
1090,genus:Lepidocyrtus,2
1090,genus:Parisotoma,1
1090,genus:Xenylla,19
1141,genus:Entomobrya,1
1141,genus:Friesea,1
1141,genus:Isotomiella,15
1141,genus:Isotomurus,2
1141,genus:Mesaphorura,6
1141,genus:Paratullbergia,4
1141,genus:Parisotoma,1
1141,genus:Sphaeridia,3
1166,genus:Ceratophysella,1
1166,genus:Folsomides,2
1166,genus:Friesea,7
1166,genus:Isotomurus,7
1166,genus:Sminthurus,4
1174,genus:Hypogastrura,10
1174,genus:Lepidocyrtus,2
1174,genus:Proisotoma,2
1174,genus:Sminthurinus,1
1180,genus:Folsomia,1
1180,genus:Isotomiella,6
1180,genus:Isotomodes,1
1180,genus:Isotomurus,6
1180,genus:Lepidocyrtus,1
1180,genus:Mesaphorura,3
1180,genus:Paratullbergia,1
1180,genus:Parisotoma,3
1237,genus:Brachystomella,1
1237,genus:Hypogastrura,2
1237,genus:Isotomurus,15
1237,genus:Sphaeridia,7
1237,genus:Xenylla,28
1243,genus:Arrhopalites,7
1243,genus:Isotomiella,4
1243,genus:Isotomurus,7
1243,genus:Parisotoma,6
1243,genus:Sminthurinus,3
1274,genus:Arrhopalites,1
1274,genus:Hemisotoma,9
1274,genus:Isotoma,3
1274,genus:Isotomiella,6
1274,genus:Isotomurus,3
1274,genus:Lepidocyrtus,4
1274,genus:Mesaphorura,4
1274,genus:Paratullbergia,4
1274,genus:Parisotoma,1
1274,genus:Pseudosinella,1
1310,genus:Hemisotoma,42
1310,genus:Isotomurus,8
1310,genus:Parisotoma,1
1310,genus:Sphaeridia,2
1366,genus:Folsomides,1
1366,genus:Isotomurus,8
1366,genus:Pseudosinella,2
1366,genus:Sminthurides,2
137,genus:Entomobrya,1
137,genus:Isotoma,1
137,genus:Isotomurus,17
1372,genus:Deuteraphorura,1
1372,genus:Isotomiella,12
1372,genus:Lathriopyga,1
1372,genus:Lepidocyrtus,17
1372,genus:Megalothorax,1
1372,genus:Mesaphorura,1
1372,genus:Paratullbergia,1
1372,genus:Parisotoma,19
1464,genus:Ceratophysella,1
1464,genus:Isotomiella,5
1464,genus:Mesaphorura,2
1464,genus:Parisotoma,9
1464,genus:Protaphorura,1
1477,genus:Folsomia,44
1477,genus:Isotoma,1
1477,genus:Mesaphorura,1
1477,genus:Neanura,1
1477,genus:Parisotoma,1
1477,genus:Proisotoma,1
1477,genus:Sminthurides,7
1491,genus:Heteromurus,1
1491,genus:Isotomurus,6
1491,genus:Lepidocyrtus,1
1491,genus:Sminthurinus,2
152,genus:Deuterosminthurus,1
152,genus:Folsomia,9
152,genus:Isotomurus,8
152,genus:Sminthurinus,5
152,genus:Sminthurus,1
1537,genus:Friesea,1
1537,genus:Heteromurus,5
1537,genus:Isotoma,1
1537,genus:Isotomiella,1
1537,genus:Isotomurus,1
1537,genus:Parisotoma,2
1537,genus:Pseudosinella,1
1537,genus:Sminthurinus,2
1537,genus:Sminthurus,1
1549,genus:Bourletiella,3
1549,genus:Brachystomella,2
1549,genus:Ceratophysella,1
1549,genus:Dicyrtomina,1
1549,genus:Folsomia,5
1549,genus:Hemisotoma,38
1549,genus:Isotoma,2
1549,genus:Isotomurus,1
1549,genus:Lepidocyrtus,10
1549,genus:Parisotoma,21
1549,genus:Pseudosinella,2
1549,genus:Sminthurinus,4
1549,genus:Sminthurus,2
1556,genus:Entomobrya,1
1556,genus:Folsomides,1
1556,genus:Isotomiella,3
1556,genus:Isotomurus,2
1556,genus:Megalothorax,1
1556,genus:Parisotoma,2
1556,genus:Sminthurinus,6
157,genus:Isotomiella,3
157,genus:Mesaphorura,1
1587,genus:Bourletiella,1
1587,genus:Hemisotoma,3
