station,total_abundance,rtu_richness,assemblage_id,group_label,method,detected
1030,206,7,collembola_soil_core,Collembola,soil-core,TRUE
1058,16,6,collembola_soil_core,Collembola,soil-core,TRUE
1064,36,6,collembola_soil_core,Collembola,soil-core,TRUE
1090,38,7,collembola_soil_core,Collembola,soil-core,TRUE
1141,33,8,collembola_soil_core,Collembola,soil-core,TRUE
1166,21,5,collembola_soil_core,Collembola,soil-core,TRUE
1174,15,5,collembola_soil_core,Collembola,soil-core,TRUE
1180,22,8,collembola_soil_core,Collembola,soil-core,TRUE
1237,53,5,collembola_soil_core,Collembola,soil-core,TRUE
1243,27,5,collembola_soil_core,Collembola,soil-core,TRUE
1274,36,11,collembola_soil_core,Collembola,soil-core,TRUE
1310,53,4,collembola_soil_core,Collembola,soil-core,TRUE
1366,13,4,collembola_soil_core,Collembola,soil-core,TRUE
137,19,3,collembola_soil_core,Collembola,soil-core,TRUE
1372,53,8,collembola_soil_core,Collembola,soil-core,TRUE
1464,23,6,collembola_soil_core,Collembola,soil-core,TRUE
1477,56,8,collembola_soil_core,Collembola,soil-core,TRUE
1491,10,4,collembola_soil_core,Collembola,soil-core,TRUE
152,24,5,collembola_soil_core,Collembola,soil-core,TRUE
1537,15,9,collembola_soil_core,Collembola,soil-core,TRUE
1549,92,14,collembola_soil_core,Collembola,soil-core,TRUE
1556,16,8,collembola_soil_core,Collembola,soil-core,TRUE
157,4,2,collembola_soil_core,Collembola,soil-core,TRUE
1587,21,8,collembola_soil_core,Collembola,soil-core,TRUE
1660,19,8,collembola_soil_core,Collembola,soil-core,TRUE
1677,92,9,collembola_soil_core,Collembola,soil-core,TRUE
1686,2,2,collembola_soil_core,Collembola,soil-core,TRUE
1694,10,3,collembola_soil_core,Collembola,soil-core,TRUE
1706,45,14,collembola_soil_core,Collembola,soil-core,TRUE
1768,115,14,collembola_soil_core,Collembola,soil-core,TRUE
1826,11,4,collembola_soil_core,Collembola,soil-core,TRUE
1837,255,13,collembola_soil_core,Collembola,soil-core,TRUE
1875,42,6,collembola_soil_core,Collembola,soil-core,TRUE
1887,14,7,collembola_soil_core,Collembola,soil-core,TRUE
1893,9,4,collembola_soil_core,Collembola,soil-core,TRUE
1992,6,3,collembola_soil_core,Collembola,soil-core,TRUE
1996,100,10,collembola_soil_core,Collembola,soil-core,TRUE
2011,42,7,collembola_soil_core,Collembola,soil-core,TRUE
2021,25,8,collembola_soil_core,Collembola,soil-core,TRUE
2034,328,7,collembola_soil_core,Collembola,soil-core,TRUE
2076,12,3,collembola_soil_core,Collembola,soil-core,TRUE
2142,18,4,collembola_soil_core,Collembola,soil-core,TRUE
215,19,6,collembola_soil_core,Collembola,soil-core,TRUE
2182,5,3,collembola_soil_core,Collembola,soil-core,TRUE
2205,68,14,collembola_soil_core,Collembola,soil-core,TRUE
223,29,2,collembola_soil_core,Collembola,soil-core,TRUE
2257,178,12,collembola_soil_core,Collembola,soil-core,TRUE
2260,15,3,collembola_soil_core,Collembola,soil-core,TRUE
2276,50,10,collembola_soil_core,Collembola,soil-core,TRUE
2312,32,9,collembola_soil_core,Collembola,soil-core,TRUE
288,17,7,collembola_soil_core,Collembola,soil-core,TRUE
291,22,6,collembola_soil_core,Collembola,soil-core,TRUE
391,49,9,collembola_soil_core,Collembola,soil-core,TRUE
400,12,5,collembola_soil_core,Collembola,soil-core,TRUE
408,10,7,collembola_soil_core,Collembola,soil-core,TRUE
476,62,8,collembola_soil_core,Collembola,soil-core,TRUE
609,76,13,collembola_soil_core,Collembola,soil-core,TRUE
620,30,11,collembola_soil_core,Collembola,soil-core,TRUE
633,26,9,collembola_soil_core,Collembola,soil-core,TRUE
644,34,7,collembola_soil_core,Collembola,soil-core,TRUE
730,8,3,collembola_soil_core,Collembola,soil-core,TRUE
788,11,4,collembola_soil_core,Collembola,soil-core,TRUE
792,120,9,collembola_soil_core,Collembola,soil-core,TRUE
805,43,5,collembola_soil_core,Collembola,soil-core,TRUE
812,27,9,collembola_soil_core,Collembola,soil-core,TRUE
827,41,11,collembola_soil_core,Collembola,soil-core,TRUE
870,15,5,collembola_soil_core,Collembola,soil-core,TRUE
926,9,4,collembola_soil_core,Collembola,soil-core,TRUE
