taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
genus:Mesaphorura,NA,genus:Mesaphorura,family:Tullbergiidae,genus,NA,NA,Mesaphorura,Tullbergiidae,Collembola,Entognatha,"Mesaphorura Börner, 1901",Mesaphorura
species:cdnom:216150,species:cdnom:216150,genus:Parisotoma,family:Isotomidae,species,cdnom:216150,Parisotoma notabilis,Parisotoma,Isotomidae,Collembola,Entognatha,"Parisotoma notabilis (Schäffer, 1896)",Parisotoma notabilis
species:cdnom:216154,species:cdnom:216154,genus:Proisotoma,family:Isotomidae,species,cdnom:216154,Proisotoma minima,Proisotoma,Isotomidae,Collembola,Entognatha,"Proisotoma minima (Absolon, 1901)",Proisotoma minima
species:cdnom:216271,species:cdnom:216271,genus:Lepidocyrtus,family:Entomobryidae,species,cdnom:216271,Lepidocyrtus lanuginosus,Lepidocyrtus,Entomobryidae,Collembola,Entognatha,"Lepidocyrtus lanuginosus (Gmelin, 1790)",Lepidocyrtus lanuginosus
species:cdnom:655839,species:cdnom:655839,genus:Hemisotoma,family:Isotomidae,species,cdnom:655839,Hemisotoma thermophila,Hemisotoma,Isotomidae,Collembola,Entognatha,"Hemisotoma thermophila (Axelson, 1900)",Hemisotoma thermophila
genus:Arrhopalites,NA,genus:Arrhopalites,family:Arrhopalitidae,genus,NA,NA,Arrhopalites,Arrhopalitidae,Collembola,Entognatha,"Arrhopalites Börner, 1906",Arrhopalites
genus:Brachystomella,NA,genus:Brachystomella,family:Brachystomellidae,genus,NA,NA,Brachystomella,Brachystomellidae,Collembola,Entognatha,"Brachystomella Ågren, 1903",Brachystomella
genus:Entomobrya,NA,genus:Entomobrya,family:Entomobryidae,genus,NA,NA,Entomobrya,Entomobryidae,Collembola,Entognatha,"Entomobrya Rondani, 1861",Entomobrya
species:cdnom:216289,species:cdnom:216289,genus:Heteromurus,family:Entomobryidae,species,cdnom:216289,Heteromurus major,Heteromurus,Entomobryidae,Collembola,Entognatha,"Heteromurus major (Moniez, 1889)",Heteromurus major
species:cdnom:215802,species:cdnom:215802,genus:Ceratophysella,family:Hypogastruridae,species,cdnom:215802,Ceratophysella denticulata,Ceratophysella,Hypogastruridae,Collembola,Entognatha,"Ceratophysella denticulata (Bagnall, 1941)",Ceratophysella denticulata
species:cdnom:216107,species:cdnom:216107,genus:Folsomia,family:Isotomidae,species,cdnom:216107,Folsomia quadrioculata,Folsomia,Isotomidae,Collembola,Entognatha,"Folsomia quadrioculata (Tullberg, 1871)",Folsomia quadrioculata
species:cdnom:216125,species:cdnom:216125,genus:Isotomiella,family:Isotomidae,species,cdnom:216125,Isotomiella minor,Isotomiella,Isotomidae,Collembola,Entognatha,"Isotomiella minor (Schaeffer, 1896)",Isotomiella minor
genus:Protaphorura,NA,genus:Protaphorura,family:Onychiuridae,genus,NA,NA,Protaphorura,Onychiuridae,Collembola,Entognatha,"Protaphorura Absolon, 1901",Protaphorura
species:cdnom:216329,species:cdnom:216329,genus:Tomocerina,family:Tomoceridae,species,cdnom:216329,Tomocerina minuta,Tomocerina,Tomoceridae,Collembola,Entognatha,"Tomocerina minuta (Tullberg, 1876)",Tomocerina minuta
species:cdnom:216346,species:cdnom:216346,genus:Arrhopalites,family:Arrhopalitidae,species,cdnom:216346,Arrhopalites caecus,Arrhopalites,Arrhopalitidae,Collembola,Entognatha,"Arrhopalites caecus (Tullberg, 1871)",Arrhopalites caecus
species:cdnom:28898,species:cdnom:28898,genus:Isotoma,family:Isotomidae,species,cdnom:28898,Isotoma viridis,Isotoma,Isotomidae,Collembola,Entognatha,"Isotoma viridis Bourlet, 1839",Isotoma viridis
species:cdnom:216206,species:cdnom:216206,genus:Pseudosinella,family:Entomobryidae,species,cdnom:216206,Pseudosinella alba,Pseudosinella,Entomobryidae,Collembola,Entognatha,"Pseudosinella alba (Packard, 1873)",Pseudosinella alba
species:cdnom:884697,species:cdnom:884697,genus:Proisotomodes,family:Isotomidae,species,cdnom:884697,Proisotomodes debilis,Proisotomodes,Isotomidae,Collembola,Entognatha,"Proisotomodes debilis (Cassagnau, 1959)",Proisotomodes debilis
species:cdnom:216302,species:cdnom:216302,genus:Entomobrya,family:Entomobryidae,species,cdnom:216302,Entomobrya lanuginosa,Entomobrya,Entomobryidae,Collembola,Entognatha,"Entomobrya lanuginosa (Nicolet, 1842)",Entomobrya lanuginosa
species:cdnom:216181,species:cdnom:216181,genus:Tetracanthella,family:Isotomidae,species,cdnom:216181,Tetracanthella perezi,Tetracanthella,Isotomidae,Collembola,Entognatha,"Tetracanthella perezi Delamare, 1944",Tetracanthella perezi
genus:Detriturus,NA,genus:Detriturus,family:Onychiuridae,genus,NA,NA,Detriturus,Onychiuridae,Collembola,Entognatha,"Detriturus Pomorski, 1998",Detriturus
family:Isotomidae,NA,NA,family:Isotomidae,family,NA,NA,NA,Isotomidae,Collembola,Entognatha,"Isotomidae Schäffer, 1896",Isotomidae
species:cdnom:216396,species:cdnom:216396,genus:Sminthurinus,family:Katiannidae,species,cdnom:216396,Sminthurinus elegans,Sminthurinus,Katiannidae,Collembola,Entognatha,"Sminthurinus elegans (Fitch, 1863)",Sminthurinus elegans
species:cdnom:216361,species:cdnom:216361,genus:Bourletiella,family:Bourletiellidae,species,cdnom:216361,Bourletiella arvalis,Bourletiella,Bourletiellidae,Collembola,Entognatha,"Bourletiella arvalis (Fitch, 1863)",Bourletiella arvalis
species:cdnom:215873,species:cdnom:215873,genus:Brachystomella,family:Brachystomellidae,species,cdnom:215873,Brachystomella parvula,Brachystomella,Brachystomellidae,Collembola,Entognatha,"Brachystomella parvula (Schäffer, 1896)",Brachystomella parvula
