station,taxon_unit,abundance
1058,species:cdnom:227621,1
1058,species:cdnom:227623,5
1058,species:cdnom:227703,4
1174,species:cdnom:227623,13
1237,species:cdnom:227626,2
1243,species:cdnom:227621,12
1243,species:cdnom:227692,1
1366,species:cdnom:227609,1
1372,species:cdnom:227588,3
1464,species:cdnom:64859,4
1477,species:cdnom:227700,1
1491,species:cdnom:227621,1
1491,species:cdnom:227703,5
1537,species:cdnom:227621,2
1537,species:cdnom:227692,4
157,species:cdnom:227623,5
1706,species:cdnom:227454,2
1706,species:cdnom:227628,5
1706,species:cdnom:64859,1
1768,species:cdnom:227458,2
1826,species:cdnom:227699,2
1826,species:cdnom:227703,4
1875,species:cdnom:227621,2
1996,species:cdnom:227668,2
2021,species:cdnom:64859,2
2142,species:cdnom:227626,3
215,species:cdnom:227454,4
215,species:cdnom:227618,5
215,species:cdnom:227641,2
215,species:cdnom:227676,1
215,species:cdnom:64859,5
215,species:cdnom:64877,2
2182,species:cdnom:227621,1
2182,species:cdnom:227626,1
2182,species:cdnom:227703,1
2205,species:cdnom:64859,2
2276,species:cdnom:969672,33
288,species:cdnom:227593,11
288,species:cdnom:227687,2
288,species:cdnom:227692,2
408,species:cdnom:227618,1
408,species:cdnom:227621,2
408,species:cdnom:227692,2
476,species:cdnom:227623,13
476,species:cdnom:227692,2
476,species:cdnom:227714,1
620,species:cdnom:227454,1
620,species:cdnom:227473,3
620,species:cdnom:227522,1
620,species:cdnom:227618,11
620,species:cdnom:227628,1
620,species:cdnom:227676,1
620,species:cdnom:64859,7
633,species:cdnom:212638,1
644,species:cdnom:227454,5
644,species:cdnom:227618,7
644,species:cdnom:64859,10
730,species:cdnom:227621,7
792,species:cdnom:64859,4
805,species:cdnom:227618,5
805,species:cdnom:64859,1
812,species:cdnom:227618,1
812,species:cdnom:64859,2
