station,total_abundance,rtu_richness,assemblage_id,group_label,method,detected
1030,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1058,13,5,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1064,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1066,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1090,1,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1141,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1166,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1174,13,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1180,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1237,2,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1243,13,2,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1274,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1310,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1366,1,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
137,1,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1372,5,2,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1464,4,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1477,1,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1491,6,2,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
152,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1537,6,2,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1549,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1556,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
157,5,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1587,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1660,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1677,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1686,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1694,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1706,9,4,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1768,2,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1826,8,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1837,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1875,5,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
1887,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1893,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1992,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
1996,3,2,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
2011,1,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
2021,2,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
2034,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
2076,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
2142,3,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
215,29,9,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
2182,3,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
2205,2,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
223,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
2257,1,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
2276,40,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
2312,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
288,15,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
291,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
391,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
400,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
408,5,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
423,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
476,16,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
609,2,2,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
620,28,8,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
633,4,2,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
644,25,4,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
730,7,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
788,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
792,4,1,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
805,7,3,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
812,6,4,diplopoda_hand_sorting,Diplopoda,hand-sorting,TRUE
827,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
870,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
926,0,0,diplopoda_hand_sorting,Diplopoda,hand-sorting,FALSE
