station,assemblage_id
1030,diplopoda_hand_sorting
1058,diplopoda_hand_sorting
1064,diplopoda_hand_sorting
1066,diplopoda_hand_sorting
1090,diplopoda_hand_sorting
1141,diplopoda_hand_sorting
1166,diplopoda_hand_sorting
1174,diplopoda_hand_sorting
1180,diplopoda_hand_sorting
1237,diplopoda_hand_sorting
1243,diplopoda_hand_sorting
1274,diplopoda_hand_sorting
1310,diplopoda_hand_sorting
1366,diplopoda_hand_sorting
137,diplopoda_hand_sorting
1372,diplopoda_hand_sorting
1464,diplopoda_hand_sorting
1477,diplopoda_hand_sorting
1491,diplopoda_hand_sorting
152,diplopoda_hand_sorting
1537,diplopoda_hand_sorting
1549,diplopoda_hand_sorting
1556,diplopoda_hand_sorting
157,diplopoda_hand_sorting
1587,diplopoda_hand_sorting
1660,diplopoda_hand_sorting
1677,diplopoda_hand_sorting
1686,diplopoda_hand_sorting
1694,diplopoda_hand_sorting
1706,diplopoda_hand_sorting
1768,diplopoda_hand_sorting
1826,diplopoda_hand_sorting
1837,diplopoda_hand_sorting
1875,diplopoda_hand_sorting
1887,diplopoda_hand_sorting
1893,diplopoda_hand_sorting
1992,diplopoda_hand_sorting
1996,diplopoda_hand_sorting
2011,diplopoda_hand_sorting
2021,diplopoda_hand_sorting
2034,diplopoda_hand_sorting
2076,diplopoda_hand_sorting
2142,diplopoda_hand_sorting
215,diplopoda_hand_sorting
2182,diplopoda_hand_sorting
2205,diplopoda_hand_sorting
223,diplopoda_hand_sorting
2257,diplopoda_hand_sorting
2276,diplopoda_hand_sorting
2312,diplopoda_hand_sorting
288,diplopoda_hand_sorting
291,diplopoda_hand_sorting
391,diplopoda_hand_sorting
400,diplopoda_hand_sorting
408,diplopoda_hand_sorting
423,diplopoda_hand_sorting
476,diplopoda_hand_sorting
609,diplopoda_hand_sorting
620,diplopoda_hand_sorting
633,diplopoda_hand_sorting
644,diplopoda_hand_sorting
730,diplopoda_hand_sorting
788,diplopoda_hand_sorting
792,diplopoda_hand_sorting
805,diplopoda_hand_sorting
812,diplopoda_hand_sorting
827,diplopoda_hand_sorting
870,diplopoda_hand_sorting
926,diplopoda_hand_sorting
