station,taxon_unit,abundance
1058,family:Julidae,10
1058,family:Polydesmidae,7
1166,family:Julidae,3
1174,family:Julidae,3
1237,family:Julidae,3
1243,family:Julidae,7
137,family:Julidae,2
1372,family:Glomeridae,1
1464,family:Glomeridae,7
1491,family:Polydesmidae,1
1537,family:Julidae,5
157,family:Julidae,1
1706,family:Julidae,3
1706,family:Polydesmidae,1
1768,family:Glomeridae,2
1768,family:Julidae,1
1875,family:Polydesmidae,1
1996,family:Julidae,15
2034,family:Julidae,85
215,family:Glomeridae,7
215,family:Julidae,2
2182,family:Julidae,7
2182,family:Polydesmidae,1
2205,family:Glomeridae,1
2257,family:Glomeridae,2
2257,family:Glomeridellidae,2
2257,family:Julidae,1
2260,family:Julidae,1
2276,family:Julidae,9
408,family:Julidae,3
476,family:Julidae,19
609,family:Polydesmidae,2
620,family:Glomeridae,2
644,family:Julidae,1
644,family:Polydesmidae,1
730,family:Julidae,4
792,family:Polydesmidae,1
805,family:Julidae,2
812,family:Glomeridae,1
812,family:Julidae,1
870,family:Julidae,1
926,family:Chordeumatidae,1
926,family:Glomeridae,2
926,family:Polydesmidae,2
