station,taxon_unit,abundance
1058,genus:Cylindroiulus,10
1058,genus:Polydesmus,7
1166,genus:Brachyiulus,3
1174,genus:Cylindroiulus,3
1237,genus:Brachyiulus,1
1237,genus:Leptoiulus,2
1243,genus:Brachyiulus,7
137,genus:Cylindroiulus,2
1372,genus:Glomeris,1
1464,genus:Glomeris,7
1491,genus:Polydesmus,1
1537,genus:Brachyiulus,5
157,genus:Cylindroiulus,1
1706,genus:Cylindroiulus,2
1706,genus:Leptoiulus,1
1706,genus:Polydesmus,1
1768,genus:Cylindroiulus,1
1768,genus:Glomeris,2
1875,genus:Polydesmus,1
1996,genus:Ommatoiulus,15
2034,genus:Ommatoiulus,85
215,genus:Glomeris,7
215,genus:Julus,1
2182,genus:Brachyiulus,6
2182,genus:Cylindroiulus,1
2182,genus:Polydesmus,1
2205,genus:Glomeris,1
2257,genus:Glomeridella,2
2257,genus:Glomeris,2
2257,genus:Leptoiulus,1
2260,genus:Leptoiulus,1
2276,genus:Cylindroiulus,9
408,genus:Allajulus,1
408,genus:Brachyiulus,2
476,genus:Cylindroiulus,19
609,genus:Brachydesmus,2
620,genus:Glomeris,2
644,genus:Polydesmus,1
644,genus:Tachypodoiulus,1
730,genus:Brachyiulus,4
792,genus:Polydesmus,1
805,genus:Julus,1
805,genus:Tachypodoiulus,1
812,genus:Cylindroiulus,1
812,genus:Glomeris,1
870,genus:Tachypodoiulus,1
926,genus:Brachydesmus,1
926,genus:Glomeris,2
