taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:628325,species:cdnom:628325,genus:Tapinoma,family:Formicidae,species,cdnom:628325,Tapinoma madeirense,Tapinoma,Formicidae,Hymenoptera,Insecta,"Tapinoma madeirense Forel, 1895",Tapinoma madeirense
species:cdnom:219406,species:cdnom:219406,genus:Messor,family:Formicidae,species,cdnom:219406,Messor barbarus,Messor,Formicidae,Hymenoptera,Insecta,"Messor barbarus (Linnaeus, 1767)",Messor barbarus
genus:Tetramorium,NA,genus:Tetramorium,family:Formicidae,genus,NA,NA,Tetramorium,Formicidae,Hymenoptera,Insecta,"Tetramorium Mayr, 1855",Tetramorium
species:cdnom:219350,species:cdnom:219350,genus:Tetramorium,family:Formicidae,species,cdnom:219350,Tetramorium forte,Tetramorium,Formicidae,Hymenoptera,Insecta,"Tetramorium forte Forel, 1904",Tetramorium forte
species:cdnom:52779,species:cdnom:52779,genus:Camponotus,family:Formicidae,species,cdnom:52779,Camponotus aethiops,Camponotus,Formicidae,Hymenoptera,Insecta,"Camponotus aethiops (Latreille, 1798)",Camponotus aethiops
species:cdnom:219519,species:cdnom:219519,genus:Camponotus,family:Formicidae,species,cdnom:219519,Camponotus piceus,Camponotus,Formicidae,Hymenoptera,Insecta,"Camponotus piceus (Leach, 1825)",Camponotus piceus
species:cdnom:219505,species:cdnom:219505,genus:Formica,family:Formicidae,species,cdnom:219505,Formica gagates,Formica,Formicidae,Hymenoptera,Insecta,"Formica gagates Latreille, 1798",Formica gagates
species:cdnom:52792,species:cdnom:52792,genus:Formica,family:Formicidae,species,cdnom:52792,Formica rufibarbis,Formica,Formicidae,Hymenoptera,Insecta,"Formica rufibarbis Fabricius, 1793",Formica rufibarbis
species:cdnom:52816,species:cdnom:52816,genus:Lasius,family:Formicidae,species,cdnom:52816,Lasius emarginatus,Lasius,Formicidae,Hymenoptera,Insecta,"Lasius emarginatus (Olivier, 1792)",Lasius emarginatus
species:cdnom:52788,species:cdnom:52788,genus:Formica,family:Formicidae,species,cdnom:52788,Formica cunicularia,Formica,Formicidae,Hymenoptera,Insecta,"Formica cunicularia Latreille, 1798",Formica cunicularia
species:cdnom:264385,species:cdnom:264385,genus:Lasius,family:Formicidae,species,cdnom:264385,Lasius cinereus,Lasius,Formicidae,Hymenoptera,Insecta,"Lasius cinereus Seifert, 1992",Lasius cinereus
genus:Messor,NA,genus:Messor,family:Formicidae,genus,NA,NA,Messor,Formicidae,Hymenoptera,Insecta,"Messor Forel, 1890",Messor
species:cdnom:52812,species:cdnom:52812,genus:Crematogaster,family:Formicidae,species,cdnom:52812,Crematogaster sordidula,Crematogaster,Formicidae,Hymenoptera,Insecta,"Crematogaster sordidula (Nylander, 1849)",Crematogaster sordidula
species:cdnom:264386,species:cdnom:264386,genus:Lasius,family:Formicidae,species,cdnom:264386,Lasius grandis,Lasius,Formicidae,Hymenoptera,Insecta,"Lasius grandis Forel, 1909",Lasius grandis
species:cdnom:52820,species:cdnom:52820,genus:Pheidole,family:Formicidae,species,cdnom:52820,Pheidole pallidula,Pheidole,Formicidae,Hymenoptera,Insecta,"Pheidole pallidula (Nylander, 1849)",Pheidole pallidula
species:cdnom:52822,species:cdnom:52822,genus:Plagiolepis,family:Formicidae,species,cdnom:52822,Plagiolepis pygmaea,Plagiolepis,Formicidae,Hymenoptera,Insecta,"Plagiolepis pygmaea (Latreille, 1798)",Plagiolepis pygmaea
species:cdnom:938134,species:cdnom:938134,genus:Aphaenogaster,family:Formicidae,species,cdnom:938134,Aphaenogaster ichnusa,Aphaenogaster,Formicidae,Hymenoptera,Insecta,"Aphaenogaster ichnusa Santschi, 1925",Aphaenogaster ichnusa
species:cdnom:52785,species:cdnom:52785,genus:Camponotus,family:Formicidae,species,cdnom:52785,Camponotus vagus,Camponotus,Formicidae,Hymenoptera,Insecta,"Camponotus vagus (Scopoli, 1763)",Camponotus vagus
genus:Tapinoma,NA,genus:Tapinoma,family:Formicidae,genus,NA,NA,Tapinoma,Formicidae,Hymenoptera,Insecta,"Tapinoma Förster, 1850",Tapinoma
