station,taxon_unit,abundance
1141,family:Philosciidae,1
1166,family:Armadillidiidae,4
1174,family:Trachelipodidae,16
1237,family:Armadillidiidae,16
1237,family:Philosciidae,19
1243,family:Philosciidae,1
1274,family:Armadillidiidae,1
1274,family:Trachelipodidae,2
1366,family:Armadillidiidae,1
1372,family:Armadillidiidae,9
1372,family:Philosciidae,20
1372,family:Trichoniscidae,5
1464,family:Armadillidiidae,4
1464,family:Philosciidae,3
1464,family:Porcellionidae,15
1464,family:Trichoniscidae,2
1477,family:Trichoniscidae,3
1491,family:Armadillidiidae,2
1537,family:Armadillidiidae,1
1537,family:Philosciidae,2
1556,family:Armadillidiidae,10
157,family:Trachelipodidae,1
1660,family:Trachelipodidae,1
1706,family:Agridae,3
1706,family:Philosciidae,4
1706,family:Porcellionidae,2
1768,family:Porcellionidae,2
1826,family:Armadillidiidae,15
1826,family:Philosciidae,5
1875,family:Armadillidiidae,7
215,family:Philosciidae,4
215,family:Trichoniscidae,22
2257,family:Porcellionidae,3
2276,family:Trichoniscidae,2
609,family:Philosciidae,5
620,family:Oniscidae,1
620,family:Philosciidae,36
620,family:Porcellionidae,6
620,family:Trichoniscidae,5
633,family:Oniscidae,1
633,family:Philosciidae,48
633,family:Porcellionidae,3
633,family:Trichoniscidae,3
644,family:Philosciidae,7
792,family:Philosciidae,3
792,family:Trichoniscidae,3
805,family:Philosciidae,18
805,family:Porcellionidae,2
812,family:Philosciidae,4
812,family:Porcellionidae,3
812,family:Trichoniscidae,3
827,family:Philosciidae,17
870,family:Trachelipodidae,3
