station,taxon_unit,abundance
1141,genus:Philoscia,1
1166,genus:Armadillidium,4
1174,genus:Trachelipus,16
1237,genus:Armadillidium,16
1237,genus:Chaetophiloscia,18
1237,genus:Philoscia,1
1243,genus:Philoscia,1
1274,genus:Armadillidium,1
1274,genus:Trachelipus,2
1366,genus:Armadillidium,1
1372,genus:Eluma,9
1372,genus:Philoscia,20
1372,genus:Trichoniscus,5
1464,genus:Armadillidium,4
1464,genus:Philoscia,3
1464,genus:Porcellio,15
1464,genus:Trichoniscus,2
1477,genus:Hyloniscus,3
1491,genus:Armadillidium,2
1537,genus:Armadillidium,1
1537,genus:Philoscia,2
1556,genus:Armadillidium,10
157,genus:Trachelipus,1
1660,genus:Trachelipus,1
1706,genus:Orthometopon,3
1706,genus:Philoscia,4
1706,genus:Porcellio,2
1768,genus:Porcellio,2
1826,genus:Armadillidium,15
1826,genus:Chaetophiloscia,5
1875,genus:Armadillidium,7
215,genus:Philoscia,4
215,genus:Trichoniscus,22
2257,genus:Porcellio,3
2276,genus:Trichoniscus,2
609,genus:Philoscia,5
620,genus:Oniscus,1
620,genus:Philoscia,36
620,genus:Porcellio,6
620,genus:Trichoniscoides,1
620,genus:Trichoniscus,4
633,genus:Oniscus,1
633,genus:Philoscia,48
633,genus:Porcellio,3
633,genus:Trichoniscus,3
644,genus:Philoscia,7
792,genus:Philoscia,3
792,genus:Trichoniscus,3
805,genus:Philoscia,18
805,genus:Porcellio,2
812,genus:Philoscia,4
812,genus:Porcellio,3
812,genus:Trichoniscus,3
827,genus:Chaetophiloscia,5
827,genus:Philoscia,12
870,genus:Trachelipus,3
