station,taxon_unit,abundance
1141,species:cdnom:237061,1
1166,species:cdnom:699887,4
1174,species:cdnom:311119,16
1237,species:cdnom:18829,12
1237,species:cdnom:237055,4
1237,species:cdnom:237057,14
1237,species:cdnom:237061,1
1237,species:cdnom:699887,4
1243,species:cdnom:237061,1
1274,species:cdnom:18829,1
1274,species:cdnom:237114,2
1366,species:cdnom:18829,1
1372,species:cdnom:237061,20
1372,species:cdnom:781044,9
1464,species:cdnom:237023,1
1464,species:cdnom:237025,3
1464,species:cdnom:237061,3
1464,species:cdnom:237088,15
1477,species:cdnom:237139,3
1491,species:cdnom:699887,2
1537,species:cdnom:237061,2
1537,species:cdnom:699887,1
1556,species:cdnom:699887,10
157,species:cdnom:237114,1
1660,species:cdnom:311119,1
1706,species:cdnom:237061,4
1706,species:cdnom:237088,2
1706,species:cdnom:311068,3
1768,species:cdnom:237094,2
1826,species:cdnom:237057,5
1826,species:cdnom:699887,15
1875,species:cdnom:699887,7
215,species:cdnom:237061,4
215,species:cdnom:237211,13
2257,species:cdnom:237088,3
609,species:cdnom:237061,5
620,species:cdnom:237051,1
620,species:cdnom:237061,36
620,species:cdnom:237088,6
633,species:cdnom:237051,1
633,species:cdnom:237061,48
633,species:cdnom:237094,3
644,species:cdnom:237061,7
792,species:cdnom:237061,3
805,species:cdnom:237061,18
805,species:cdnom:237088,1
805,species:cdnom:237094,1
812,species:cdnom:237061,4
812,species:cdnom:237088,3
827,species:cdnom:237055,5
827,species:cdnom:237061,12
870,species:cdnom:237115,3
