station,total_abundance,rtu_richness,assemblage_id,group_label,method,detected
1030,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1058,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1064,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1066,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1090,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1141,1,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1166,4,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1174,16,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1180,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1237,35,5,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1243,1,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1274,3,2,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1310,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1366,1,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
137,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1372,34,3,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1464,24,5,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1477,3,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1491,2,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
152,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1537,3,2,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1549,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1556,10,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
157,1,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1587,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1660,1,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1677,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1686,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1694,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1706,9,3,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1768,2,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1826,20,2,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1837,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1875,7,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
1887,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1893,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1992,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
1996,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
2011,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
2021,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
2034,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
2076,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
2142,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
215,26,3,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
2182,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
2205,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
223,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
2257,3,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
2276,2,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
2312,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
288,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
291,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
391,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
400,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
408,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
423,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
476,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
609,5,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
620,48,5,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
633,55,4,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
644,7,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
730,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
788,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
792,6,2,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
805,20,3,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
812,10,3,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
827,17,2,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
870,3,1,isopoda_hand_sorting,Isopoda,hand-sorting,TRUE
926,0,0,isopoda_hand_sorting,Isopoda,hand-sorting,FALSE
