station,taxon_unit,abundance
1058,genus:Armadillidium,2
1166,genus:Armadillidium,3
1174,genus:Trachelipus,38
1237,genus:Armadillidium,50
1237,genus:Chaetophiloscia,98
1237,genus:Philoscia,1
1310,genus:Armadillidium,34
1372,genus:Eluma,4
1372,genus:Philoscia,27
1464,genus:Armadillidium,17
1464,genus:Hyloniscus,1
1464,genus:Philoscia,20
1464,genus:Porcellio,10
1464,genus:Trichoniscus,1
1477,genus:Trachelipus,12
1549,genus:Philoscia,4
1549,genus:Trachelipus,3
1549,genus:Trichoniscus,2
1556,genus:Armadillidium,28
157,genus:Philoscia,1
1660,genus:Trachelipus,11
1706,genus:Philoscia,13
1826,genus:Armadillidium,2
1826,genus:Chaetophiloscia,2
1837,genus:Trachelipus,1
1875,genus:Armadillidium,92
1875,genus:Chaetophiloscia,1
1992,genus:Chaetophiloscia,2
2011,genus:Armadillidium,3
2034,genus:Chaetophiloscia,1
2076,genus:Armadillidium,15
215,genus:Armadillidium,3
215,genus:Philoscia,15
215,genus:Trichoniscus,3
2205,genus:Armadillidium,2
223,genus:Philoscia,2
2257,genus:Porcellio,5
2276,genus:Trichoniscus,1
288,genus:Porcellio,7
391,genus:Porcellio,3
476,genus:Armadillidium,74
476,genus:Porcellio,1
476,genus:Trachelipus,10
609,genus:Philoscia,2
620,genus:Oniscus,1
620,genus:Philoscia,60
620,genus:Porcellio,3
633,genus:Philoscia,16
644,genus:Oniscus,1
644,genus:Philoscia,6
730,genus:Philoscia,4
792,genus:Philoscia,21
805,genus:Philoscia,49
805,genus:Porcellio,3
812,genus:Philoscia,7
827,genus:Philoscia,5
870,genus:Philoscia,12
870,genus:Trachelipus,2
926,genus:Ligidium,6
926,genus:Oniscus,1
926,genus:Philoscia,37
