station,taxon_unit,abundance
1058,species:cdnom:699887,2
1166,species:cdnom:699887,3
1174,species:cdnom:311119,38
1237,genus:Armadillidium,2
1237,species:cdnom:1012421,1
1237,species:cdnom:18829,42
1237,species:cdnom:237055,15
1237,species:cdnom:237057,83
1237,species:cdnom:237061,1
1237,species:cdnom:699887,5
1310,species:cdnom:699887,34
1372,species:cdnom:237061,27
1372,species:cdnom:781044,4
1464,genus:Trichoniscus,1
1464,species:cdnom:237023,4
1464,species:cdnom:237025,13
1464,species:cdnom:237061,20
1464,species:cdnom:237088,9
1464,species:cdnom:237094,1
1464,species:cdnom:237139,1
1477,species:cdnom:237114,12
1549,genus:Trichoniscus,2
1549,species:cdnom:237061,4
1549,species:cdnom:237114,3
1556,species:cdnom:699887,28
157,species:cdnom:237061,1
1660,species:cdnom:311119,11
1706,species:cdnom:237061,13
1826,species:cdnom:237057,2
1826,species:cdnom:699887,2
1837,species:cdnom:311119,1
1875,species:cdnom:18829,64
1875,species:cdnom:237055,1
1875,species:cdnom:699887,28
1992,genus:Chaetophiloscia,2
2011,species:cdnom:699887,3
2034,species:cdnom:237057,1
2076,species:cdnom:1012421,15
215,family:Trichoniscidae,6
215,genus:Armadillidium,3
215,genus:Philoscia,2
215,genus:Trichoniscus,3
215,species:cdnom:237061,13
2205,genus:Armadillidium,1
2205,species:cdnom:18829,1
223,species:cdnom:237061,2
2257,species:cdnom:237088,2
2257,species:cdnom:237094,3
2276,genus:Trichoniscus,1
288,species:cdnom:18820,7
391,species:cdnom:18820,3
476,species:cdnom:18820,1
476,species:cdnom:18829,1
476,species:cdnom:237114,10
476,species:cdnom:699887,73
609,species:cdnom:237061,2
620,species:cdnom:237051,1
620,species:cdnom:237061,60
620,species:cdnom:237088,3
633,species:cdnom:237061,16
644,species:cdnom:237051,1
644,species:cdnom:237061,6
730,species:cdnom:237061,4
792,species:cdnom:237061,21
805,species:cdnom:18820,1
805,species:cdnom:237061,49
805,species:cdnom:237088,2
812,species:cdnom:237061,7
827,species:cdnom:237061,5
870,species:cdnom:237061,12
870,species:cdnom:237115,2
926,species:cdnom:237050,6
926,species:cdnom:237051,1
926,species:cdnom:237061,37
