code_ech,station,method
RMQS_2024_ARLES_2076_hand-sorting_2,2076,hand-sorting
RMQS_2024_ARLES_2076_hand-sorting_4,2076,hand-sorting
RMQS_2024_ARLES_2076_hand-sorting_5,2076,hand-sorting
RMQS_2024_AUCELON_1768_hand-sorting_1,1768,hand-sorting
RMQS_2024_AUCELON_1768_hand-sorting_2,1768,hand-sorting
RMQS_2024_AUCELON_1768_hand-sorting_3,1768,hand-sorting
RMQS_2024_AUCELON_1768_hand-sorting_4,1768,hand-sorting
RMQS_2024_AUCELON_1768_hand-sorting_5,1768,hand-sorting
RMQS_2024_AUCELON_1768_hand-sorting_6,1768,hand-sorting
RMQS_2024_AULUS-LES-BAINS_2276_hand-sorting_1,2276,hand-sorting
RMQS_2024_AULUS-LES-BAINS_2276_hand-sorting_2,2276,hand-sorting
RMQS_2024_AULUS-LES-BAINS_2276_hand-sorting_3,2276,hand-sorting
RMQS_2024_AULUS-LES-BAINS_2276_hand-sorting_4,2276,hand-sorting
RMQS_2024_AULUS-LES-BAINS_2276_hand-sorting_5,2276,hand-sorting
RMQS_2024_AULUS-LES-BAINS_2276_hand-sorting_6,2276,hand-sorting
RMQS_2024_AURIERES_1464_hand-sorting_1,1464,hand-sorting
RMQS_2024_AURIERES_1464_hand-sorting_2,1464,hand-sorting
RMQS_2024_AURIERES_1464_hand-sorting_3,1464,hand-sorting
RMQS_2024_AURIERES_1464_hand-sorting_4,1464,hand-sorting
RMQS_2024_AURIERES_1464_hand-sorting_5,1464,hand-sorting
RMQS_2024_AURIERES_1464_hand-sorting_6,1464,hand-sorting
RMQS_2024_AUXERRE_805_hand-sorting_1,805,hand-sorting
RMQS_2024_AUXERRE_805_hand-sorting_2,805,hand-sorting
RMQS_2024_AUXERRE_805_hand-sorting_3,805,hand-sorting
RMQS_2024_AUXERRE_805_hand-sorting_4,805,hand-sorting
RMQS_2024_AUXERRE_805_hand-sorting_5,805,hand-sorting
RMQS_2024_AUXERRE_805_hand-sorting_6,805,hand-sorting
RMQS_2024_AUZON_1549_hand-sorting_1,1549,hand-sorting
RMQS_2024_AUZON_1549_hand-sorting_2,1549,hand-sorting
RMQS_2024_AUZON_1549_hand-sorting_3,1549,hand-sorting
RMQS_2024_AUZON_1549_hand-sorting_4,1549,hand-sorting
RMQS_2024_AUZON_1549_hand-sorting_5,1549,hand-sorting
RMQS_2024_AUZON_1549_hand-sorting_6,1549,hand-sorting
RMQS_2024_AVESNES-EN-SAOSNOIS_620_hand-sorting_1,620,hand-sorting
RMQS_2024_AVESNES-EN-SAOSNOIS_620_hand-sorting_2,620,hand-sorting
RMQS_2024_AVESNES-EN-SAOSNOIS_620_hand-sorting_3,620,hand-sorting
RMQS_2024_AVESNES-EN-SAOSNOIS_620_hand-sorting_4,620,hand-sorting
RMQS_2024_AVESNES-EN-SAOSNOIS_620_hand-sorting_5,620,hand-sorting
RMQS_2024_AVESNES-EN-SAOSNOIS_620_hand-sorting_6,620,hand-sorting
RMQS_2024_BEDEE_609_hand-sorting_1,609,hand-sorting
RMQS_2024_BEDEE_609_hand-sorting_2,609,hand-sorting
RMQS_2024_BEDEE_609_hand-sorting_3,609,hand-sorting
RMQS_2024_BEDEE_609_hand-sorting_4,609,hand-sorting
RMQS_2024_BEDEE_609_hand-sorting_5,609,hand-sorting
RMQS_2024_BEDEE_609_hand-sorting_6,609,hand-sorting
RMQS_2024_BELCASTEL_1837_hand-sorting_1,1837,hand-sorting
RMQS_2024_BELCASTEL_1837_hand-sorting_2,1837,hand-sorting
