station,total_abundance,q0,q1,q2,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
1030,237,19,7.875005789836691,5.137565169669807,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1058,104,16,9.753473061263342,7.894890510948906,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1090,79,20,12.502558648564031,8.852482269503545,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1141,481,22,4.776404426074936,3.1649498638869504,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1166,173,21,9.553237811272654,6.278372141808266,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1174,254,39,18.848478109544477,12.605705353653772,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1180,336,25,5.4455960351586805,3.5993113562456163,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1237,165,35,18.704773618510934,10.885645741703318,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1243,33,10,8.35008233651589,7.211920529801323,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1274,153,27,8.18313648926382,3.709237838694343,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1310,204,17,6.149924100125285,4.038036095478362,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1366,37,9,6.008249643047494,4.906810035842293,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
137,0,0,1,0,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1372,137,20,4.824254590519525,2.3851823611640612,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1464,55,22,14.630541940001056,10.68904593639576,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1477,61,14,8.602176630715462,5.698315467075038,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1491,40,10,4.962145530604511,3.265306122448979,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
152,706,17,4.666648214966452,2.9851114544779427,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1537,140,18,7.564735370429294,4.984740590030519,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1549,165,39,18.908147973421602,10.300794551645858,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1556,18,12,10.498761356185051,9,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
157,289,17,5.718321408589833,3.745168378099636,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1587,42,16,12.129525502030779,9.58695652173913,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1660,302,19,5.98102119716736,4.435129352266096,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1677,330,19,2.7312549140205573,1.572744865832876,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1686,57,20,9.94696167369683,6.095684803001877,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1694,4,4,4,4,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1706,184,10,1.6985224452239525,1.2405100395720359,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1768,38,22,17.069401779170242,13.127272727272729,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1826,153,24,11.740654042118297,8.036045314109165,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1837,366,40,13.894801887016412,7.679202017885807,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1875,281,19,8.226760831036932,5.817505341486775,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1887,40,15,9.262287156048725,5.970149253731344,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1893,3,3,2.9999999999999996,3,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1992,49,22,17.600639680508092,14.377245508982035,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1996,15,10,7.997678186615408,6.081081081081081,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2011,318,22,6.765791210787674,4.6162695152013145,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2021,72,17,10.918008466635738,8.498360655737706,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2034,14,8,7.171977654113906,6.533333333333334,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2076,32,13,9.160053748722317,6.826666666666667,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
215,99,29,14.759166697267867,9.290047393364928,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2182,18,11,8.874546802956262,7.0434782608695645,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2205,14,7,6.74320466590777,6.533333333333334,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
223,521,22,9.693020540476043,7.678018838570986,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2257,33,12,8.99682051155805,7.211920529801323,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2260,3,3,2.9999999999999996,3,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2276,1,1,1,1,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2312,79,14,3.4160552470765246,1.8826546003016595,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
288,108,23,11.07546242016836,6.171428571428571,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
291,203,11,3.526469207557219,2.1533678214976226,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
391,42,9,5.771008442303908,4.432160804020101,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
400,33,10,7.4855878655080215,6.294797687861271,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
408,55,13,9.121905158096288,7.776349614395888,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
423,184,17,4.390588135652648,2.383889593015068,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
476,57,16,12.196827996425252,9.69850746268657,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
609,137,15,6.752665395527346,4.169962230615418,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
620,192,20,4.527126579751564,2.332278881437429,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
633,11,7,5.857725991919796,4.84,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
644,62,15,8.516416532226708,5.251366120218579,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
730,55,17,9.2759508692593,5.591497227356746,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
788,381,22,5.5942090380866345,3.360130552533506,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
792,45,15,8.980277176548544,5.769230769230769,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
805,70,19,8.630896816529207,4.298245614035088,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
812,98,14,4.168541746244024,2.258701787394168,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
827,221,30,7.557407326095417,3.791120080726538,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
870,29,15,10.810695681376846,7.313043478260869,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
926,11,9,8.54923454974006,8.066666666666666,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1030,200,17,6.640988195142791,4.122011541632317,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1058,100,13,8.650308324895667,7.331378299120233,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1090,76,17,11.183600815437389,8.227920227920228,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1141,272,14,3.749278566546963,2.1839650490022433,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1166,126,17,7.382963719626909,4.567318757192175,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1174,195,32,15.516888032572412,10.180722891566264,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1180,271,18,3.7148324282851646,2.5757023112264577,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1237,104,25,16.845304729068857,13.06280193236715,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1243,20,8,7.006504971654766,6.0606060606060606,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1274,131,21,6.0755228379403166,2.8379361666942287,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1310,198,15,5.559358298575173,3.8113941279408903,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1366,33,7,4.7505454824184845,4.048327137546469,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
137,0,0,1,0,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1372,129,14,3.7714390379371556,2.117983963344788,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1464,45,16,10.66529974639593,8.00395256916996,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1477,53,11,6.464232233726044,4.4516640253565765,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1491,37,8,4.02338877965362,2.8226804123711338,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
152,674,14,4.019275955691828,2.731468565106547,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1537,84,12,5.087834000220866,3.3283018867924525,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1549,144,33,15.273349776491917,8.301040832666132,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1556,14,9,7.728626595716687,6.533333333333334,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
157,216,13,4.2100378192246755,2.602699988843021,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1587,33,12,8.878702505480787,6.936305732484077,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1660,248,15,4.418650905038859,3.339341948094255,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1677,327,17,2.6009673547315346,1.544391004809567,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1686,20,10,6.31033881760106,4.081632653061224,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1694,3,3,2.9999999999999996,3,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1706,182,8,1.5957505515903312,1.2137779406375961,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1768,33,17,13.130680551005748,10.371428571428572,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1826,110,18,9.52629581121952,6.729699666295884,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1837,339,38,12.541801800124839,6.816596476659351,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1875,248,16,6.672675610091587,4.79525962887884,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1887,29,10,5.700776179193422,3.6406926406926408,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1893,2,2,2,2,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1992,33,17,14.509815669896627,12.517241379310345,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1996,14,9,7.1366041172457395,5.444444444444444,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2011,290,16,5.4556137127146895,3.935055212427475,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2021,57,11,7.187552878907861,5.939670932358319,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2034,8,5,4.455659733512511,4,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2076,25,10,6.956191116735443,5.08130081300813,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
215,89,23,11.727655953202959,7.727804878048781,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2182,15,8,6.4200686779793825,5.232558139534883,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2205,10,5,4.745102806263551,4.545454545454545,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
223,425,18,7.534666753753195,5.84074373484236,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2257,21,7,5.318081812737663,4.281553398058253,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2260,2,2,2,2,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2276,1,1,1,1,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2312,70,10,2.356730616844486,1.495726495726496,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
