predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,1.5476956324200108,1.5476956324200108,0,Bray-Curtis,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.6056078738075623,1.6056078738075623,0,Bray-Curtis,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.9471251759881505,0.9471251759881505,0,Bray-Curtis,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.49670357228242934,0.49670357228242934,0,Bray-Curtis,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.8026487253375735,0.8026487253375735,0,Sørensen,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.0352595682326147,1.0352595682326147,0,Sørensen,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.643831447775649,0.643831447775649,0,Sørensen,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.912989776532266,0.912989776532266,0,Sørensen,araneae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.5476956324200108,1.4283364803891756,-0.11935915203083525,Bray-Curtis,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.6056078738075623,1.543006046839468,-0.06260182696809435,Bray-Curtis,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,0.9471251759881505,1.4199243388242537,0.47279916283610324,Bray-Curtis,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0.49670357228242934,3.04197354062232,2.5452699683398903,Bray-Curtis,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,0.8026487253375735,1.0441512519075722,0.2415025265699987,Sørensen,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.0352595682326147,1.1022841098370493,0.0670245416044346,Sørensen,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,0.643831447775649,1.2354283202223237,0.5915968724466747,Sørensen,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0.912989776532266,2.389340221044481,1.476350444512215,Sørensen,araneae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.5476956324200108,1.5078255703138035,-0.03987006210620736,Bray-Curtis,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.6056078738075623,1.5145343547745664,-0.09107351903299588,Bray-Curtis,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.9471251759881505,0.8877451420836758,-0.05938003390447466,Bray-Curtis,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.49670357228242934,0.4897937300976497,-0.006909842184779635,Bray-Curtis,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.8026487253375735,0.8136266076636418,0.010977882326068333,Sørensen,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.0352595682326147,0.9676446615126211,-0.0676149067199936,Sørensen,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.643831447775649,0.5829876431930138,-0.060843804582635275,Sørensen,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.912989776532266,0.8255968946372738,-0.08739288189499217,Sørensen,araneae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.5476956324200108,1.4932167778340018,-0.054478854586009096,Bray-Curtis,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
mos,1.6056078738075623,1.7188178308282187,0.1132099570206564,Bray-Curtis,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
p_h,0.9471251759881505,1.4458477895878232,0.49872261359967274,Bray-Curtis,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
t360_mean,0.49670357228242934,1.4076611384463031,0.9109575661638738,Bray-Curtis,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
Geographic,0.8026487253375735,1.1876914262436886,0.38504270090611514,Sørensen,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
mos,1.0352595682326147,1.1448455020953354,0.10958593386272075,Sørensen,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
p_h,0.643831447775649,1.1559706810043289,0.5121392332286798,Sørensen,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
t360_mean,0.912989776532266,1.7442316788242667,0.8312419022920007,Sørensen,araneae_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
Geographic,1.739818864336478,1.739818864336478,0,Bray-Curtis,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,1.5986318364141427,1.5986318364141427,0,Bray-Curtis,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,1.0856571421770316,1.0856571421770316,0,Bray-Curtis,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,0.896604039312448,0.896604039312448,0,Bray-Curtis,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,1.205064902019431,1.205064902019431,0,Sørensen,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,0.9849081599695839,0.9849081599695839,0,Sørensen,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,0.740605948361055,0.740605948361055,0,Sørensen,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,1.4253188506844856,1.4253188506844856,0,Sørensen,araneae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,1.739818864336478,2.2050568941938837,0.4652380298574057,Bray-Curtis,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,1.5986318364141427,0.40198301245524537,-1.1966488239588973,Bray-Curtis,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,1.0856571421770316,0.22808277238792693,-0.8575743697891046,Bray-Curtis,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,0.896604039312448,0.6413461451748761,-0.25525789413757194,Bray-Curtis,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,1.205064902019431,0.537905354267519,-0.6671595477519121,Sørensen,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,0.9849081599695839,0.7875600173816948,-0.19734814258788913,Sørensen,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,0.740605948361055,0.4095992354391103,-0.33100671292194467,Sørensen,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,1.4253188506844856,0.7939976066243942,-0.6313212440600914,Sørensen,araneae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,1.5476956324200108,1.5476956324200108,0,Bray-Curtis,araneae_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,1.6056078738075623,1.6056078738075623,0,Bray-Curtis,araneae_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
p_h,0.9471251759881505,0.9471251759881505,0,Bray-Curtis,araneae_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
t360_mean,0.49670357228242934,0.49670357228242934,0,Bray-Curtis,araneae_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
