source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:1180,Haplodrassus,NA,species:cdnom:1182,Haplodrassus,NA,coherent_random,24,0.19592114621362275,TRUE,4.702107509126946
species:cdnom:806888,Agyneta,NA,species:cdnom:806883,Agyneta,NA,coherent_random,77,0.10938091982096766,TRUE,8.42233082621451
species:cdnom:233745,Prinerigone,NA,NA,NA,NA,no_candidate,19,0.22019635887900185,FALSE,0
species:cdnom:233806,Trichopterna,NA,species:cdnom:233805,Trichopterna,NA,coherent_random,15,0.2478228255303687,TRUE,3.7173423829555303
species:cdnom:233880,Pardosa,NA,species:cdnom:233885,Pardosa,NA,coherent_random,9,0.25,TRUE,2.25
species:cdnom:907035,Pardosa,NA,species:cdnom:303987,Pardosa,NA,coherent_random,1024,0.02999417737778701,TRUE,30.7140376348539
species:cdnom:907604,Haplodrassus,NA,species:cdnom:1184,Haplodrassus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:233458,Alioranus,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:233757,Silometopus,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:233354,Micaria,NA,species:cdnom:938619,Micaria,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:1759,Zora,NA,species:cdnom:1753,Zora,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:719821,Eratigena,NA,species:cdnom:719974,Eratigena,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:233660,Metopobactrus,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:1788,Phrurolithus,NA,species:cdnom:1786,Phrurolithus,NA,coherent_random,4,0.25,TRUE,1
species:cdnom:1894,Alopecosa,NA,species:cdnom:233868,Alopecosa,NA,coherent_random,23,0.20013498627370324,TRUE,4.603104684295174
species:cdnom:457240,Ipa,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:1781,Scotina,NA,species:cdnom:233864,Scotina,NA,coherent_random,12,0.25,TRUE,3
species:cdnom:457342,Pardosa,NA,species:cdnom:1937,Pardosa,NA,coherent_random,616,0.03867199506891414,TRUE,23.82194896245111
species:cdnom:457273,Oonops,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:233321,Drassyllus,NA,species:cdnom:233317,Drassyllus,NA,coherent_random,6,0.25,TRUE,1.5
species:cdnom:233417,Zelotes,NA,species:cdnom:233389,Zelotes,NA,coherent_random,2,0.25,TRUE,0.5
species:cdnom:233864,Scotina,NA,species:cdnom:1781,Scotina,NA,coherent_random,9,0.25,TRUE,2.25
species:cdnom:887090,Alopecosa,NA,species:cdnom:1899,Alopecosa,NA,coherent_random,4,0.25,TRUE,1
species:cdnom:1897,Alopecosa,NA,species:cdnom:233868,Alopecosa,NA,coherent_random,46,0.14151680594681215,TRUE,6.509773073553359
species:cdnom:1872,Hahnia,NA,species:cdnom:1874,Hahnia,NA,coherent_random,54,0.13061409747574848,TRUE,7.053161263690418
species:cdnom:924,Aulonia,NA,NA,NA,NA,no_candidate,71,0.11390892660662602,FALSE,0
species:cdnom:1924,Pardosa,NA,species:cdnom:303987,Pardosa,NA,coherent_random,53,0.1318405478332747,TRUE,6.987549035163559
species:cdnom:233832,Walckenaeria,NA,species:cdnom:233844,Walckenaeria,NA,coherent_random,19,0.22019635887900185,TRUE,4.183730818701036
species:cdnom:806889,Agyneta,NA,species:cdnom:806883,Agyneta,NA,coherent_random,7,0.25,TRUE,1.75
species:cdnom:1378,Centromerus,NA,species:cdnom:836055,Centromerus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:1421,Minyriolus,NA,NA,NA,NA,no_candidate,7,0.25,FALSE,0
species:cdnom:233830,Walckenaeria,NA,species:cdnom:233829,Walckenaeria,NA,coherent_random,26,0.18823494860738368,TRUE,4.894108663791976
species:cdnom:1774,Agroeca,NA,species:cdnom:1778,Agroeca,NA,coherent_random,9,0.25,TRUE,2.25
species:cdnom:1664,Xysticus,NA,species:cdnom:1647,Xysticus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:791746,Iberina,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:1941,Trochosa,NA,species:cdnom:457346,Trochosa,NA,coherent_random,71,0.11390892660662602,TRUE,8.087533789070447
species:cdnom:1455,Gongylidiellum,NA,species:cdnom:1457,Gongylidiellum,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:233783,Tenuiphantes,NA,species:cdnom:233787,Tenuiphantes,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:1927,Pardosa,NA,species:cdnom:233879,Pardosa,NA,coherent_random,403,0.047811724758024116,TRUE,19.26812507748372
species:cdnom:1922,Pardosa,NA,species:cdnom:1930,Pardosa,NA,coherent_random,60,0.12391141276518434,TRUE,7.434684765911061
species:cdnom:233694,Palliduphantes,NA,species:cdnom:233697,Palliduphantes,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:234166,Ozyptila,NA,species:cdnom:234165,Ozyptila,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:233387,Trachyzelotes,NA,NA,NA,NA,no_candidate,16,0.23995341902229608,FALSE,0
species:cdnom:1323,Enoplognatha,NA,species:cdnom:234094,Enoplognatha,NA,coherent_random,11,0.25,TRUE,2.75
species:cdnom:457392,Xysticus,NA,species:cdnom:234176,Xysticus,NA,coherent_random,12,0.25,TRUE,3
species:cdnom:233170,Histopona,NA,NA,NA,NA,no_candidate,20,0.21462086254693807,FALSE,0
species:cdnom:886,Atypus,NA,NA,NA,NA,no_candidate,3,0.25,FALSE,0
species:cdnom:233668,Microneta,NA,NA,NA,NA,no_candidate,43,0.1463702133892823,FALSE,0
species:cdnom:1786,Phrurolithus,NA,species:cdnom:1788,Phrurolithus,NA,coherent_random,22,0.20463296331012593,TRUE,4.50192519282277
species:cdnom:233527,Diplocephalus,NA,species:cdnom:233533,Diplocephalus,NA,coherent_random,63,0.12092515675669921,TRUE,7.6182848756720505
species:cdnom:1446,Erigone,NA,species:cdnom:1445,Erigone,NA,coherent_random,265,0.05896088542920296,TRUE,15.624634638738785
species:cdnom:1504,Pelecopsis,NA,species:cdnom:233726,Pelecopsis,NA,coherent_random,123,0.08654348466681401,TRUE,10.644848614018123
species:cdnom:233787,Tenuiphantes,NA,species:cdnom:233781,Tenuiphantes,NA,coherent_random,179,0.0717398424012296,TRUE,12.8414317898201
species:cdnom:457316,Pachygnatha,NA,species:cdnom:234067,Pachygnatha,NA,coherent_random,248,0.06094822937992306,TRUE,15.115160886220918
species:cdnom:719829,Civizelotes,NA,NA,NA,NA,no_candidate,27,0.18471622808732496,FALSE,0
species:cdnom:938619,Micaria,NA,species:cdnom:233350,Micaria,NA,coherent_random,12,0.25,TRUE,3
species:cdnom:1405,Diplostyla,NA,NA,NA,NA,no_candidate,30,0.17523720046533436,FALSE,0
