station,total_abundance,q0,q1,q2,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
1030,610,19,2.837035016977768,1.64514988062605,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1058,167,19,5.614502508669528,3.1609429899127277,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1090,1326,15,2.038387112174185,1.5096074263087218,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1141,104,10,3.1409301637195934,2.2694083088543855,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1166,110,11,4.772954284541361,2.9700540009818357,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1174,91,11,4.402137644383681,2.9906103286384975,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1180,908,23,3.883428552992749,2.191068448299689,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1237,25,9,6.111433325013332,4.194630872483222,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1243,249,11,2.2910021465579873,1.4650866041258062,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1274,80,18,9.227501055950386,5.970149253731344,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1310,20,6,4.678742228712665,4.000000000000001,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1366,45,8,4.5407520159046735,3.2820097244732582,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
137,506,24,6.8526417042984,3.933206341403466,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1372,24,9,5.4989185479944105,3.5121951219512195,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1464,78,9,6.141781673063157,5.15593220338983,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1477,36,14,10.937373023490897,8.876712328767123,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1491,14,3,1.9270218579005853,1.5555555555555558,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
152,245,16,5.054276916935074,3.5306746661961066,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1537,42,10,7.488562007014456,6.437956204379563,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1549,104,20,10.27979195278302,6.751560549313359,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1556,141,18,7.799627800674896,5.162555180472604,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
157,39,8,3.4951908953475233,2.157446808510638,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1587,157,9,3.1705227229543804,2.3038601738480233,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1660,69,11,6.046299097072395,4.794561933534743,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1677,162,8,2.862238170120754,1.9515169541939323,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1686,76,7,3.398231662417864,2.4187604690117253,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1694,11,7,5.2927215555751514,3.9032258064516134,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1706,29,3,1.8993434733651442,1.5318761384335151,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1768,1,1,1,1,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
