predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,0.6813744272157336,0.6813744272157336,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.4229562228400785,1.4229562228400785,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.5870178096617784,1.5870178096617784,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,2.51959056436102,2.51959056436102,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.0799726215468646,1.0799726215468646,0,Sørensen,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.4299110672956101,1.4299110672956101,0,Sørensen,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.208645513212181,1.208645513212181,0,Sørensen,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,1.4915444582637796,1.4915444582637796,0,Sørensen,carabidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.6813744272157336,0.6879786004333655,0.006604173217631848,Bray-Curtis,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.4229562228400785,1.4239334326062703,9.772097661917556e-4,Bray-Curtis,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,1.5870178096617784,1.5813912552609302,-0.005626554400848249,Bray-Curtis,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,2.51959056436102,2.576800215609529,0.05720965124850874,Bray-Curtis,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.0799726215468646,1.10037895593722,0.02040633439035533,Sørensen,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.4299110672956101,1.4474353417529278,0.017524274457317635,Sørensen,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,1.208645513212181,1.1851210234201468,-0.023524489792034142,Sørensen,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,1.4915444582637796,1.4901384630122485,-0.001405995251531067,Sørensen,carabidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,0.6813744272157336,0.7061842968899981,0.024809869674264462,Bray-Curtis,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.4229562228400785,1.3764803813449886,-0.046475841495089876,Bray-Curtis,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.5870178096617784,1.5400266673901304,-0.04699114227164802,Bray-Curtis,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,2.51959056436102,2.31722721931444,-0.20236334504658027,Bray-Curtis,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.0799726215468646,1.085608399213747,0.005635777666882502,Sørensen,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.4299110672956101,1.3190852243941373,-0.11082584290147279,Sørensen,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.208645513212181,1.1374451006088375,-0.07120041260334342,Sørensen,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,1.4915444582637796,1.2364995902281581,-0.25504486803562143,Sørensen,carabidae_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.6820903256533672,0.6820903256533672,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,1.4357858794908218,1.4357858794908218,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,1.57135791724356,1.57135791724356,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,2.5106527098970037,2.5106527098970037,0,Bray-Curtis,carabidae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,1.0727388723822864,1.0727388723822864,0,Sørensen,carabidae_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
