source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:9291,Anisodactylus,NA,species:cdnom:222409,Anisodactylus,NA,coherent_random,4,0.25,TRUE,1
species:cdnom:222447,Harpalus,NA,species:cdnom:9320,Harpalus,NA,coherent_random,5,0.25,TRUE,1.25
species:cdnom:222448,Harpalus,NA,species:cdnom:9300,Harpalus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9304,Harpalus,NA,species:cdnom:9309,Harpalus,NA,coherent_random,188,0.10863519445948006,TRUE,20.42341655838225
species:cdnom:222579,Pterostichus,NA,species:cdnom:9100,Pterostichus,NA,coherent_random,59,0.19392038508532577,TRUE,11.441302720034221
species:cdnom:222607,Abax,NA,species:cdnom:9158,Abax,NA,coherent_random,232,0.09779248413902329,TRUE,22.687856320253402
species:cdnom:8369,Carabus,NA,species:cdnom:8379,Carabus,NA,coherent_random,15,0.25,TRUE,3.75
species:cdnom:8428,Carabus,NA,species:cdnom:8369,Carabus,NA,coherent_random,30,0.25,TRUE,7.5
species:cdnom:8347,Cychrus,NA,NA,NA,NA,no_candidate,7,0.25,FALSE,0
species:cdnom:222455,Harpalus,NA,species:cdnom:222449,Harpalus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:9100,Pterostichus,NA,species:cdnom:222552,Pterostichus,NA,coherent_random,17,0.25,TRUE,4.25
species:cdnom:8381,Carabus,NA,species:cdnom:8369,Carabus,NA,coherent_random,7,0.25,TRUE,1.75
species:cdnom:9327,Harpalus,NA,species:cdnom:9306,Harpalus,NA,coherent_random,14,0.25,TRUE,3.5
species:cdnom:9157,Abax,NA,species:cdnom:9158,Abax,NA,coherent_random,14,0.25,TRUE,3.5
species:cdnom:9158,Abax,NA,species:cdnom:222607,Abax,NA,coherent_random,23,0.25,TRUE,5.75
species:cdnom:8410,Carabus,NA,species:cdnom:8369,Carabus,NA,coherent_random,50,0.21065145759509096,TRUE,10.532572879754548
