source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:9291,Anisodactylus,9291,species:cdref:222411,Anisodactylus,222411,coherent_random,4,0.1,TRUE,0.4
species:cdnom:222447,Harpalus,222447,species:cdnom:222451,Harpalus,222451,coherent_random,5,0.1,TRUE,0.5
species:cdnom:222448,Harpalus,222448,species:cdref:222453,Harpalus,222453,coherent_random,1,0.1,TRUE,0.1
species:cdnom:9304,Harpalus,9304,species:cdref:9299,Harpalus,9299,coherent_random,188,0.1,TRUE,18.8
species:cdnom:222579,Pterostichus,222579,species:cdref:222574,Pterostichus,222574,coherent_random,59,0.1,TRUE,5.9
species:cdnom:222607,Abax,222607,species:cdref:251021,Abax,251021,coherent_random,232,0.1,TRUE,23.200000000000003
species:cdnom:8369,Carabus,8369,species:cdref:223018,Carabus,223018,coherent_random,15,0.1,TRUE,1.5
species:cdnom:8428,Carabus,8428,species:cdref:251393,Carabus,251393,coherent_random,30,0.1,TRUE,3
species:cdnom:8347,Cychrus,8347,species:cdref:251437,Cychrus,251437,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:222455,Harpalus,222455,species:cdref:274738,Harpalus,274738,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:9100,Pterostichus,9100,species:cdnom:222557,Pterostichus,222557,coherent_random,17,0.1,TRUE,1.7000000000000002
species:cdnom:8381,Carabus,8381,species:cdref:251380,Carabus,251380,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:9327,Harpalus,9327,species:cdref:222454,Harpalus,222454,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:9157,Abax,9157,species:cdref:222608,Abax,222608,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:9158,Abax,9158,species:cdnom:9157,Abax,9157,coherent_random,23,0.1,TRUE,2.3000000000000003
species:cdnom:8410,Carabus,8410,species:cdref:251420,Carabus,251420,coherent_random,50,0.1,TRUE,5
species:cdnom:8503,Leistus,8503,species:cdref:251362,Leistus,251362,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:8506,Nebria,8506,species:cdref:8516,Nebria,8516,coherent_random,91,0.1,TRUE,9.1
species:cdnom:8343,Calosoma,8343,species:cdref:223012,Calosoma,223012,coherent_random,4,0.1,TRUE,0.4
species:cdnom:9192,Amara,9192,species:cdref:222635,Amara,222635,coherent_random,137,0.1,TRUE,13.700000000000001
species:cdnom:9278,Brachinus,9278,species:cdnom:9277,Brachinus,9277,coherent_random,9,0.1,TRUE,0.9
species:cdnom:8358,Carabus,8358,species:cdref:795343,Carabus,795343,coherent_random,226,0.1,TRUE,22.6
species:cdnom:9298,Harpalus,9298,species:cdref:9317,Harpalus,9317,coherent_random,50,0.1,TRUE,5
species:cdnom:222486,Ophonus,222486,species:cdref:222473,Ophonus,222473,coherent_random,1,0.1,TRUE,0.1
species:cdnom:222541,Poecilus,222541,species:cdnom:222547,Poecilus,222547,coherent_random,311,0.1,TRUE,31.1
species:cdnom:222466,Pseudoophonus,222466,species:cdnom:222465,Pseudoophonus,222465,coherent_random,23,0.1,TRUE,2.3000000000000003
species:cdnom:222335,Microlestes,222335,species:cdref:222336,Microlestes,222336,coherent_random,45,0.1,TRUE,4.5
species:cdnom:9200,Amara,9200,species:cdref:9203,Amara,9203,coherent_random,1,0.1,TRUE,0.1
species:cdnom:8782,Calathus,8782,species:cdref:8785,Calathus,8785,coherent_random,97,0.1,TRUE,9.700000000000001
species:cdnom:9287,Diachromus,9287,NA,NA,NA,no_candidate,4,0.1,FALSE,0
species:cdnom:9316,Harpalus,9316,species:cdref:9322,Harpalus,9322,coherent_random,18,0.1,TRUE,1.8
