source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:216150,Parisotoma,NA,NA,NA,NA,no_candidate,402,0.1,FALSE,0
species:cdnom:216154,Proisotoma,NA,species:cdnom:216155,Proisotoma,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:216271,Lepidocyrtus,NA,species:cdnom:28902,Lepidocyrtus,NA,coherent_random,97,0.1,TRUE,9.700000000000001
species:cdnom:655839,Hemisotoma,NA,NA,NA,NA,no_candidate,179,0.1,FALSE,0
species:cdnom:216289,Heteromurus,NA,species:cdnom:216290,Heteromurus,NA,coherent_random,135,0.1,TRUE,13.5
species:cdnom:215802,Ceratophysella,NA,species:cdnom:837807,Ceratophysella,NA,coherent_random,18,0.1,TRUE,1.8
species:cdnom:216107,Folsomia,NA,species:cdnom:28893,Folsomia,NA,coherent_random,145,0.1,TRUE,14.5
species:cdnom:216125,Isotomiella,NA,NA,NA,NA,no_candidate,167,0.1,FALSE,0
species:cdnom:216329,Tomocerina,NA,NA,NA,NA,no_candidate,4,0.1,FALSE,0
species:cdnom:216346,Arrhopalites,NA,NA,NA,NA,no_candidate,10,0.1,FALSE,0
species:cdnom:28898,Isotoma,NA,NA,NA,NA,no_candidate,106,0.1,FALSE,0
species:cdnom:216206,Pseudosinella,NA,species:cdnom:216236,Pseudosinella,NA,coherent_random,107,0.1,TRUE,10.700000000000001
species:cdnom:884697,Proisotomodes,NA,NA,NA,NA,no_candidate,20,0.1,FALSE,0
species:cdnom:216302,Entomobrya,NA,NA,NA,NA,no_candidate,60,0.1,FALSE,0
species:cdnom:216181,Tetracanthella,NA,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:216396,Sminthurinus,NA,species:cdnom:216395,Sminthurinus,NA,coherent_random,21,0.1,TRUE,2.1
species:cdnom:216361,Bourletiella,NA,species:cdnom:837805,Bourletiella,NA,coherent_random,12,0.1,TRUE,1.2000000000000002
species:cdnom:215873,Brachystomella,NA,NA,NA,NA,no_candidate,11,0.1,FALSE,0
species:cdnom:837807,Ceratophysella,NA,species:cdnom:215802,Ceratophysella,NA,coherent_random,47,0.1,TRUE,4.7
species:cdnom:216395,Sminthurinus,NA,species:cdnom:216396,Sminthurinus,NA,coherent_random,115,0.1,TRUE,11.5
species:cdnom:216409,Sminthurus,NA,NA,NA,NA,no_candidate,18,0.1,FALSE,0
species:cdnom:216387,Dicyrtomina,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:216269,Lepidocyrtus,NA,species:cdnom:28902,Lepidocyrtus,NA,coherent_random,19,0.1,TRUE,1.9000000000000001
species:cdnom:216341,Megalothorax,NA,NA,NA,NA,no_candidate,6,0.1,FALSE,0
species:cdnom:216426,Sphaeridia,NA,NA,NA,NA,no_candidate,55,0.1,FALSE,0
species:cdnom:215889,Lathriopyga,NA,NA,NA,NA,no_candidate,12,0.1,FALSE,0
species:cdnom:215800,Ceratophysella,NA,species:cdnom:215802,Ceratophysella,NA,coherent_random,16,0.1,TRUE,1.6
species:cdnom:215877,Neanura,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:216313,Cyphoderus,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:216421,Sminthurides,NA,species:cdnom:884828,Sminthurides,NA,coherent_random,56,0.1,TRUE,5.6000000000000005
species:cdnom:215824,Hypogastrura,NA,species:cdnom:215819,Hypogastrura,NA,coherent_random,59,0.1,TRUE,5.9
species:cdnom:216290,Heteromurus,NA,species:cdnom:216289,Heteromurus,NA,coherent_random,11,0.1,TRUE,1.1
species:cdnom:215819,Hypogastrura,NA,species:cdnom:215824,Hypogastrura,NA,coherent_random,4,0.1,TRUE,0.4
species:cdnom:254543,Xenylla,NA,species:cdnom:215868,Xenylla,NA,coherent_random,19,0.1,TRUE,1.9000000000000001
species:cdnom:28893,Folsomia,NA,species:cdnom:216107,Folsomia,NA,coherent_random,38,0.1,TRUE,3.8000000000000003
species:cdnom:216155,Proisotoma,NA,species:cdnom:216154,Proisotoma,NA,coherent_random,4,0.1,TRUE,0.4
species:cdnom:215856,Triacanthella,NA,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:215867,Xenylla,NA,species:cdnom:254543,Xenylla,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:255221,Folsomides,NA,NA,NA,NA,no_candidate,21,0.1,FALSE,0
species:cdnom:254524,Willemia,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:28902,Lepidocyrtus,NA,species:cdnom:216271,Lepidocyrtus,NA,coherent_random,5,0.1,TRUE,0.5
species:cdnom:884828,Sminthurides,NA,species:cdnom:216421,Sminthurides,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:215945,Friesea,NA,NA,NA,NA,no_candidate,15,0.1,FALSE,0
species:cdnom:884524,Stenaphorura,NA,NA,NA,NA,no_candidate,6,0.1,FALSE,0
species:cdnom:837805,Bourletiella,NA,species:cdnom:216361,Bourletiella,NA,coherent_random,5,0.1,TRUE,0.5
species:cdnom:215868,Xenylla,NA,species:cdnom:215867,Xenylla,NA,coherent_random,305,0.1,TRUE,30.5
species:cdnom:216006,Metaphorura,NA,NA,NA,NA,no_candidate,4,0.1,FALSE,0
species:cdnom:216130,Isotomodes,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:216246,Pseudosinella,NA,species:cdnom:216236,Pseudosinella,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:884837,Neelus,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:216236,Pseudosinella,NA,species:cdnom:216246,Pseudosinella,NA,coherent_random,1,0.1,TRUE,0.1
