source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:216150,Parisotoma,NA,NA,NA,NA,no_candidate,402,0.045166365010517906,FALSE,0
species:cdnom:216154,Proisotoma,NA,species:cdnom:216155,Proisotoma,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:216271,Lepidocyrtus,NA,species:cdnom:28902,Lepidocyrtus,NA,coherent_random,97,0.09194800258291783,TRUE,8.91895625054303
species:cdnom:655839,Hemisotoma,NA,NA,NA,NA,no_candidate,179,0.06768643660546472,FALSE,0
species:cdnom:216289,Heteromurus,NA,species:cdnom:216290,Heteromurus,NA,coherent_random,135,0.07794015806833786,TRUE,10.52192133922561
species:cdnom:215802,Ceratophysella,NA,species:cdnom:837807,Ceratophysella,NA,coherent_random,18,0.21344791354773462,TRUE,3.8420624438592235
species:cdnom:216107,Folsomia,NA,species:cdnom:28893,Folsomia,NA,coherent_random,145,0.0752045583890737,TRUE,10.904660966415685
species:cdnom:216125,Isotomiella,NA,NA,NA,NA,no_candidate,167,0.07007610116339694,FALSE,0
species:cdnom:216329,Tomocerina,NA,NA,NA,NA,no_candidate,4,0.25,FALSE,0
species:cdnom:216346,Arrhopalites,NA,NA,NA,NA,no_candidate,10,0.25,FALSE,0
species:cdnom:28898,Isotoma,NA,NA,NA,NA,no_candidate,106,0.08795797733576352,FALSE,0
species:cdnom:216206,Pseudosinella,NA,species:cdnom:216236,Pseudosinella,NA,coherent_random,107,0.08754599391240499,TRUE,9.367421348627333
species:cdnom:884697,Proisotomodes,NA,NA,NA,NA,no_candidate,20,0.2024944705864658,FALSE,0
species:cdnom:216302,Entomobrya,NA,NA,NA,NA,no_candidate,60,0.11691023710250677,FALSE,0
species:cdnom:216181,Tetracanthella,NA,NA,NA,NA,no_candidate,3,0.25,FALSE,0
