source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:227458,Glomeris,NA,species:cdnom:64859,Glomeris,NA,coherent_random,2,0.1,TRUE,0.2
species:cdnom:969672,Cylindroiulus,NA,species:cdnom:227623,Cylindroiulus,NA,coherent_random,33,0.1,TRUE,3.3000000000000003
species:cdnom:64859,Glomeris,NA,species:cdnom:227454,Glomeris,NA,coherent_random,38,0.1,TRUE,3.8000000000000003
species:cdnom:227618,Allajulus,NA,NA,NA,NA,no_candidate,30,0.1,FALSE,0
species:cdnom:227676,Tachypodoiulus,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227454,Glomeris,NA,species:cdnom:227458,Glomeris,NA,coherent_random,12,0.1,TRUE,1.2000000000000002
species:cdnom:227473,Polyzonium,NA,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:227522,Melogona,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:227628,Cylindroiulus,NA,species:cdnom:227623,Cylindroiulus,NA,coherent_random,6,0.1,TRUE,0.6000000000000001
species:cdnom:227687,Ophiodesmus,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227593,Blaniulus,NA,NA,NA,NA,no_candidate,11,0.1,FALSE,0
species:cdnom:227692,Brachydesmus,NA,NA,NA,NA,no_candidate,11,0.1,FALSE,0
species:cdnom:227700,Polydesmus,NA,species:cdnom:64877,Polydesmus,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227621,Brachyiulus,NA,NA,NA,NA,no_candidate,28,0.1,FALSE,0
species:cdnom:227623,Cylindroiulus,NA,species:cdnom:227626,Cylindroiulus,NA,coherent_random,36,0.1,TRUE,3.6
species:cdnom:227714,Propolydesmus,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:227703,Polydesmus,NA,species:cdnom:64877,Polydesmus,NA,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:227699,Polydesmus,NA,species:cdnom:64877,Polydesmus,NA,coherent_random,2,0.1,TRUE,0.2
species:cdnom:227626,Cylindroiulus,NA,species:cdnom:227628,Cylindroiulus,NA,coherent_random,6,0.1,TRUE,0.6000000000000001
species:cdnom:227668,Ommatoiulus,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227609,Occitaniulus,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:64877,Polydesmus,NA,species:cdnom:227703,Polydesmus,NA,coherent_random,2,0.1,TRUE,0.2
species:cdnom:227641,Julus,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227588,Galliobates,NA,NA,NA,NA,no_candidate,3,0.1,FALSE,0
