source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:227458,Glomeris,NA,species:cdnom:227454,Glomeris,NA,coherent_random,2,0.25,TRUE,0.5
species:cdnom:969672,Cylindroiulus,NA,species:cdnom:227623,Cylindroiulus,NA,coherent_random,33,0.06615975079968679,TRUE,2.183271776389664
species:cdnom:64859,Glomeris,NA,species:cdnom:227458,Glomeris,NA,coherent_random,38,0.06165368402659147,TRUE,2.3428399930104757
species:cdnom:227618,Allajulus,NA,NA,NA,NA,no_candidate,30,0.06938893203144375,FALSE,0
species:cdnom:227676,Tachypodoiulus,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:227454,Glomeris,NA,species:cdnom:227458,Glomeris,NA,coherent_random,12,0.10971353481298834,TRUE,1.3165624177558601
species:cdnom:227473,Polyzonium,NA,NA,NA,NA,no_candidate,3,0.2194270696259767,FALSE,0
species:cdnom:227522,Melogona,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:227628,Cylindroiulus,NA,species:cdnom:227626,Cylindroiulus,NA,coherent_random,6,0.15515836890842083,TRUE,0.930950213450525
species:cdnom:227687,Ophiodesmus,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:227593,Blaniulus,NA,NA,NA,NA,no_candidate,11,0.11459204980115316,FALSE,0
species:cdnom:227692,Brachydesmus,NA,NA,NA,NA,no_candidate,11,0.11459204980115316,FALSE,0
species:cdnom:227700,Polydesmus,NA,species:cdnom:227699,Polydesmus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:227621,Brachyiulus,NA,NA,NA,NA,no_candidate,28,0.07182436829167024,FALSE,0
species:cdnom:227623,Cylindroiulus,NA,species:cdnom:227626,Cylindroiulus,NA,coherent_random,36,0.06334313885802419,TRUE,2.280352998888871
species:cdnom:227714,Propolydesmus,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:227703,Polydesmus,NA,species:cdnom:227699,Polydesmus,NA,coherent_random,14,0.10157499574696016,TRUE,1.4220499404574423
species:cdnom:227699,Polydesmus,NA,species:cdnom:227700,Polydesmus,NA,coherent_random,2,0.25,TRUE,0.5
species:cdnom:227626,Cylindroiulus,NA,species:cdnom:227628,Cylindroiulus,NA,coherent_random,6,0.15515836890842083,TRUE,0.930950213450525
species:cdnom:227668,Ommatoiulus,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:227609,Occitaniulus,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:64877,Polydesmus,NA,species:cdnom:227703,Polydesmus,NA,coherent_random,2,0.25,TRUE,0.5
species:cdnom:227641,Julus,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:227588,Galliobates,NA,NA,NA,NA,no_candidate,3,0.2194270696259767,FALSE,0
