source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:227458,Glomeris,227458,species:cdref:64857,Glomeris,64857,coherent_random,2,0.1,TRUE,0.2
species:cdnom:969672,Cylindroiulus,NA,species:cdref:227635,Cylindroiulus,227635,coherent_random,33,0.1,TRUE,3.3000000000000003
species:cdnom:64859,Glomeris,64859,species:cdref:227452,Glomeris,227452,coherent_random,38,0.1,TRUE,3.8000000000000003
species:cdnom:227618,Allajulus,227618,NA,NA,NA,no_candidate,30,0.1,FALSE,0
species:cdnom:227676,Tachypodoiulus,227676,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227454,Glomeris,227454,species:cdref:227453,Glomeris,227453,coherent_random,12,0.1,TRUE,1.2000000000000002
species:cdnom:227473,Polyzonium,227473,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:227522,Melogona,227522,species:cdref:227523,Melogona,227523,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227628,Cylindroiulus,227628,species:cdref:227629,Cylindroiulus,227629,coherent_random,6,0.1,TRUE,0.6000000000000001
species:cdnom:227687,Ophiodesmus,227687,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227593,Blaniulus,227593,species:cdref:227598,Blaniulus,227598,coherent_random,11,0.1,TRUE,1.1
species:cdnom:227692,Brachydesmus,227692,species:cdref:1030772,Brachydesmus,1030772,coherent_random,11,0.1,TRUE,1.1
species:cdnom:227700,Polydesmus,227700,species:cdnom:227703,Polydesmus,227703,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227621,Brachyiulus,227621,species:cdref:227620,Brachyiulus,227620,coherent_random,28,0.1,TRUE,2.8000000000000003
species:cdnom:227623,Cylindroiulus,227623,species:cdref:227630,Cylindroiulus,227630,coherent_random,36,0.1,TRUE,3.6
species:cdnom:227714,Propolydesmus,227714,species:cdref:227715,Propolydesmus,227715,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227703,Polydesmus,227703,species:cdref:885344,Polydesmus,885344,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:227699,Polydesmus,227699,species:cdnom:227703,Polydesmus,227703,coherent_random,2,0.1,TRUE,0.2
species:cdnom:227626,Cylindroiulus,227626,species:cdref:227629,Cylindroiulus,227629,coherent_random,6,0.1,TRUE,0.6000000000000001
species:cdnom:227668,Ommatoiulus,227668,species:cdref:288486,Ommatoiulus,288486,coherent_random,2,0.1,TRUE,0.2
species:cdnom:227609,Occitaniulus,227609,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:64877,Polydesmus,64877,species:cdref:955450,Polydesmus,955450,coherent_random,2,0.1,TRUE,0.2
species:cdnom:227641,Julus,227641,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227588,Galliobates,227588,NA,NA,NA,no_candidate,3,0.1,FALSE,0
