predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,1.709849313064833,1.709849313064833,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.4848245028124938,1.4848245028124938,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.748769823097159,1.748769823097159,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.2343080197723895,0.2343080197723895,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,2.0367064336652545,2.0367064336652545,0,Sørensen,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.9755102260894969,0.9755102260894969,0,Sørensen,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,2.050650387064251,2.050650387064251,0,Sørensen,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.46024777341361933,0.46024777341361933,0,Sørensen,diplopoda_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.3944417540761789,1.1488291811314637,-0.24561257294471517,Bray-Curtis,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.76197090249063,1.7781541765507722,0.016183274060142194,Bray-Curtis,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,1.8027022987797698,1.0458505260156203,-0.7568517727641495,Bray-Curtis,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0.03867075759045617,0,-0.03867075759045617,Bray-Curtis,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.7195255239115794,1.632182701732178,-0.08734282217940148,Sørensen,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.054888338063476,0.8391373198589206,-0.21575101820455533,Sørensen,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,2.067132026168032,1.2586816040173636,-0.8084504221506685,Sørensen,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0.43783167589481314,0.2084013769862006,-0.22943029890861255,Sørensen,diplopoda_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.709849313064833,1.7531093116389282,0.04325999857409535,Bray-Curtis,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.4848245028124938,1.518700818372538,0.03387631556004411,Bray-Curtis,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.748769823097159,0.9181520102294305,-0.8306178128677284,Bray-Curtis,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.2343080197723895,0.11076431421847621,-0.12354370555391328,Bray-Curtis,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,2.0367064336652545,2.1894143814822327,0.15270794781697816,Sørensen,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.9755102260894969,0.8275193963392897,-0.14799082975020716,Sørensen,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,2.050650387064251,1.4601947656639112,-0.5904556214003398,Sørensen,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.46024777341361933,0.28724908564585566,-0.17299868776776367,Sørensen,diplopoda_pitfall,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.52278605409537,1.1522869166770706,-0.3704991374182993,Bray-Curtis,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
mos,2.62007760672753,3.5474757574447406,0.9273981507172104,Bray-Curtis,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
p_h,2.1351953246128934,2.5037702330528084,0.36857490843991503,Bray-Curtis,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
t360_mean,0.26448649132711677,0.2663489470946791,0.0018624557675623321,Bray-Curtis,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
Geographic,1.745134924219728,1.2884795171084757,-0.4566554071112523,Sørensen,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
mos,2.217927684509542,3.773189297603508,1.555261613093966,Sørensen,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
p_h,2.3285750381513415,2.6688488607938803,0.3402738226425388,Sørensen,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
t360_mean,0.4911905205228923,0.4882194589424776,-0.0029710615804147134,Sørensen,diplopoda_pitfall,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
Geographic,1.6651497792378094,1.6651497792378094,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,1.4748342095643938,1.4748342095643938,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,1.532397022088148,1.532397022088148,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,0.23465027021894835,0.23465027021894835,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,1.8763619647185439,1.8763619647185439,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,0.9016811717651518,0.9016811717651518,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,1.7326157485721907,1.7326157485721907,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,0.45099431822851466,0.45099431822851466,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
