source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:64859,Glomeris,NA,species:cdnom:192835,Glomeris,NA,coherent_random,15,0.1,TRUE,1.5
species:cdnom:969672,Cylindroiulus,NA,species:cdnom:227623,Cylindroiulus,NA,coherent_random,9,0.1,TRUE,0.9
species:cdnom:227641,Julus,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227676,Tachypodoiulus,NA,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:227692,Brachydesmus,NA,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:227628,Cylindroiulus,NA,species:cdnom:227626,Cylindroiulus,NA,coherent_random,2,0.1,TRUE,0.2
species:cdnom:64877,Polydesmus,NA,species:cdnom:227703,Polydesmus,NA,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:885344,Polydesmus,NA,species:cdnom:227703,Polydesmus,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227623,Cylindroiulus,NA,species:cdnom:227626,Cylindroiulus,NA,coherent_random,36,0.1,TRUE,3.6
species:cdnom:227621,Brachyiulus,NA,NA,NA,NA,no_candidate,28,0.1,FALSE,0
species:cdnom:227446,Glomeridella,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:192835,Glomeris,NA,species:cdnom:227454,Glomeris,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227703,Polydesmus,NA,species:cdnom:64877,Polydesmus,NA,coherent_random,9,0.1,TRUE,0.9
species:cdnom:227626,Cylindroiulus,NA,species:cdnom:227623,Cylindroiulus,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227668,Ommatoiulus,NA,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227618,Allajulus,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:227454,Glomeris,NA,species:cdnom:192835,Glomeris,NA,coherent_random,1,0.1,TRUE,0.1
