source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:64859,Glomeris,NA,species:cdnom:227454,Glomeris,NA,coherent_random,15,0.08300310390624988,TRUE,1.245046558593748
species:cdnom:969672,Cylindroiulus,NA,species:cdnom:227623,Cylindroiulus,NA,coherent_random,9,0.10715654637080986,TRUE,0.9644089173372887
species:cdnom:227641,Julus,NA,NA,NA,NA,no_candidate,2,0.22731336176199113,FALSE,0
species:cdnom:227676,Tachypodoiulus,NA,NA,NA,NA,no_candidate,3,0.1856005826778531,FALSE,0
species:cdnom:227692,Brachydesmus,NA,NA,NA,NA,no_candidate,3,0.1856005826778531,FALSE,0
species:cdnom:227628,Cylindroiulus,NA,species:cdnom:227626,Cylindroiulus,NA,coherent_random,2,0.22731336176199113,TRUE,0.45462672352398226
species:cdnom:64877,Polydesmus,NA,species:cdnom:885344,Polydesmus,NA,coherent_random,3,0.1856005826778531,TRUE,0.5568017480335593
species:cdnom:885344,Polydesmus,NA,species:cdnom:64877,Polydesmus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:227623,Cylindroiulus,NA,species:cdnom:227628,Cylindroiulus,NA,coherent_random,36,0.05357827318540493,TRUE,1.9288178346745775
species:cdnom:227621,Brachyiulus,NA,NA,NA,NA,no_candidate,28,0.06075205136779795,FALSE,0
species:cdnom:227446,Glomeridella,NA,NA,NA,NA,no_candidate,2,0.22731336176199113,FALSE,0
species:cdnom:192835,Glomeris,NA,species:cdnom:64859,Glomeris,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:227703,Polydesmus,NA,species:cdnom:885344,Polydesmus,NA,coherent_random,9,0.10715654637080986,TRUE,0.9644089173372887
species:cdnom:227626,Cylindroiulus,NA,species:cdnom:969672,Cylindroiulus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:227668,Ommatoiulus,NA,NA,NA,NA,no_candidate,2,0.22731336176199113,FALSE,0
species:cdnom:227618,Allajulus,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:227454,Glomeris,NA,species:cdnom:192835,Glomeris,NA,coherent_random,1,0.25,TRUE,0.25
