source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:64859,Glomeris,64859,species:cdref:64857,Glomeris,64857,coherent_random,15,0.1,TRUE,1.5
species:cdnom:969672,Cylindroiulus,NA,species:cdref:227635,Cylindroiulus,227635,coherent_random,9,0.1,TRUE,0.9
species:cdnom:227641,Julus,227641,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:227676,Tachypodoiulus,227676,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:227692,Brachydesmus,227692,species:cdref:227691,Brachydesmus,227691,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:227628,Cylindroiulus,227628,species:cdref:227629,Cylindroiulus,227629,coherent_random,2,0.1,TRUE,0.2
species:cdnom:64877,Polydesmus,64877,species:cdnom:227703,Polydesmus,227703,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:885344,Polydesmus,885344,species:cdref:955450,Polydesmus,955450,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227623,Cylindroiulus,227623,species:cdref:227629,Cylindroiulus,227629,coherent_random,36,0.1,TRUE,3.6
species:cdnom:227621,Brachyiulus,227621,species:cdref:227620,Brachyiulus,227620,coherent_random,28,0.1,TRUE,2.8000000000000003
species:cdnom:227446,Glomeridella,227446,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:192835,Glomeris,227454,species:cdnom:64859,Glomeris,64859,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227703,Polydesmus,227703,species:cdref:227702,Polydesmus,227702,coherent_random,9,0.1,TRUE,0.9
species:cdnom:227626,Cylindroiulus,227626,species:cdref:227630,Cylindroiulus,227630,coherent_random,1,0.1,TRUE,0.1
species:cdnom:227668,Ommatoiulus,227668,species:cdref:227665,Ommatoiulus,227665,coherent_random,2,0.1,TRUE,0.2
species:cdnom:227618,Allajulus,227618,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:227454,Glomeris,227454,species:cdref:894207,Glomeris,894207,coherent_random,1,0.1,TRUE,0.1
