predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,4.3440282528052725,4.3440282528052725,0,Bray-Curtis,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.7443161451650995,1.7443161451650995,0,Bray-Curtis,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,2.1133802484991917,2.1133802484991917,0,Bray-Curtis,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,2.6982530423338718,2.6982530423338718,0,Bray-Curtis,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,2.732032534152053,2.732032534152053,0,Sørensen,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,1.1215482680122855,1.1215482680122855,0,Sørensen,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.3767715017649638,1.3767715017649638,0,Sørensen,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0.8086311335456073,0.8086311335456073,0,Sørensen,formicidae_pitfall,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,3.9910470006016325,3.6682691228693773,-0.3227778777322552,Bray-Curtis,formicidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.7597429063545227,1.9550120488116969,0.1952691424571742,Bray-Curtis,formicidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,2.0265421853040007,1.9145512250041719,-0.1119909602998288,Bray-Curtis,formicidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,2.7466366643635145,2.8705450010858633,0.1239083367223488,Bray-Curtis,formicidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,2.4530256988373247,2.09011583579513,-0.36290986304219475,Sørensen,formicidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,1.1341333373130906,1.4664081800937876,0.33227484278069697,Sørensen,formicidae_pitfall,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
