source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:628325,Tapinoma,628325,species:cdref:847076,Tapinoma,847076,coherent_random,5,0.1,TRUE,0.5
species:cdnom:219406,Messor,219406,species:cdref:52803,Messor,52803,coherent_random,11,0.1,TRUE,1.1
species:cdnom:219350,Tetramorium,219350,species:cdref:782247,Tetramorium,782247,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:52779,Camponotus,52779,species:cdref:219514,Camponotus,219514,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:219519,Camponotus,219519,species:cdref:219515,Camponotus,219515,coherent_random,35,0.1,TRUE,3.5
species:cdnom:219505,Formica,219505,species:cdnom:52793,Formica,52793,coherent_random,1088,0.1,TRUE,108.80000000000001
species:cdnom:52792,Formica,52792,species:cdnom:52788,Formica,52788,coherent_random,170,0.1,TRUE,17
species:cdnom:52816,Lasius,52816,species:cdref:264380,Lasius,264380,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:52788,Formica,52788,species:cdref:219500,Formica,219500,coherent_random,70,0.1,TRUE,7
species:cdnom:264385,Lasius,264385,species:cdref:52818,Lasius,52818,coherent_random,690,0.1,TRUE,69
species:cdnom:52812,Crematogaster,52812,species:cdnom:52811,Crematogaster,52811,coherent_random,58,0.1,TRUE,5.800000000000001
species:cdnom:264386,Lasius,264386,species:cdnom:219493,Lasius,219493,coherent_random,5,0.1,TRUE,0.5
species:cdnom:52820,Pheidole,52820,NA,NA,NA,no_candidate,84,0.1,FALSE,0
species:cdnom:52822,Plagiolepis,52822,species:cdref:219479,Plagiolepis,219479,coherent_random,23,0.1,TRUE,2.3000000000000003
species:cdnom:938134,Aphaenogaster,938134,species:cdref:219460,Aphaenogaster,219460,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:52785,Camponotus,52785,species:cdnom:264499,Camponotus,264499,coherent_random,21,0.1,TRUE,2.1
species:cdnom:52790,Formica,52790,species:cdnom:52792,Formica,52792,coherent_random,13,0.1,TRUE,1.3
species:cdnom:52808,Myrmica,52808,species:cdref:264111,Myrmica,264111,coherent_random,172,0.1,TRUE,17.2
species:cdnom:219490,Lasius,219490,species:cdref:219485,Lasius,219485,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:219396,Myrmica,219396,species:cdnom:52808,Myrmica,52808,coherent_random,54,0.1,TRUE,5.4
species:cdnom:52793,Formica,52793,species:cdref:264411,Formica,264411,coherent_random,29,0.1,TRUE,2.9000000000000004
species:cdnom:52809,Myrmica,52809,species:cdref:628331,Myrmica,628331,coherent_random,46,0.1,TRUE,4.6000000000000005
species:cdnom:219401,Myrmecina,219401,NA,NA,NA,no_candidate,20,0.1,FALSE,0
species:cdnom:219394,Myrmica,219394,species:cdnom:219398,Myrmica,219398,coherent_random,79,0.1,TRUE,7.9
species:cdnom:52817,Lasius,52817,species:cdref:219489,Lasius,219489,coherent_random,3411,0.1,TRUE,341.1
species:cdnom:219482,Lasius,219482,species:cdnom:52816,Lasius,52816,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:219397,Myrmica,219397,species:cdref:219389,Myrmica,219389,coherent_random,299,0.1,TRUE,29.900000000000002
species:cdnom:219493,Lasius,219493,species:cdref:219487,Lasius,219487,coherent_random,78,0.1,TRUE,7.800000000000001
species:cdnom:628335,Myrmica,628335,species:cdref:219400,Myrmica,219400,coherent_random,42,0.1,TRUE,4.2
species:cdnom:52777,Aphaenogaster,52777,species:cdref:782417,Aphaenogaster,782417,coherent_random,35,0.1,TRUE,3.5
species:cdnom:52831,Tapinoma,52831,species:cdref:264323,Tapinoma,264323,coherent_random,21,0.1,TRUE,2.1
species:cdnom:219483,Lasius,219483,species:cdref:219484,Lasius,219484,coherent_random,4,0.1,TRUE,0.4
species:cdnom:52781,Camponotus,52781,species:cdnom:219519,Camponotus,219519,coherent_random,25,0.1,TRUE,2.5
species:cdnom:52811,Crematogaster,52811,species:cdnom:52812,Crematogaster,52812,coherent_random,22,0.1,TRUE,2.2
species:cdnom:219492,Lasius,NA,species:cdnom:219482,Lasius,219482,coherent_random,8,0.1,TRUE,0.8
species:cdnom:219520,Camponotus,219520,species:cdnom:264499,Camponotus,264499,coherent_random,15,0.1,TRUE,1.5
species:cdnom:264065,Stenamma,264065,species:cdref:219359,Stenamma,219359,coherent_random,1,0.1,TRUE,0.1
species:cdnom:219528,Hypoponera,219528,species:cdref:219531,Hypoponera,219531,coherent_random,23,0.1,TRUE,2.3000000000000003
species:cdnom:264499,Camponotus,264499,species:cdref:199804,Camponotus,199804,coherent_random,1,0.1,TRUE,0.1
species:cdnom:199813,Formica,199813,species:cdref:264415,Formica,264415,coherent_random,8,0.1,TRUE,0.8
species:cdnom:219507,Formica,219507,species:cdref:264415,Formica,264415,coherent_random,45,0.1,TRUE,4.5
species:cdnom:219413,Leptothorax,219413,species:cdref:219432,Leptothorax,219432,coherent_random,2,0.1,TRUE,0.2
species:cdnom:52815,Lasius,52815,species:cdnom:264386,Lasius,264386,coherent_random,131,0.1,TRUE,13.100000000000001
species:cdnom:219496,Formica,219496,species:cdref:199812,Formica,199812,coherent_random,62,0.1,TRUE,6.2
species:cdnom:219398,Myrmica,219398,species:cdref:219395,Myrmica,219395,coherent_random,66,0.1,TRUE,6.6000000000000005
species:cdnom:219512,Cataglyphis,219512,species:cdref:219513,Cataglyphis,219513,coherent_random,3,0.1,TRUE,0.30000000000000004
