station,total_abundance,q0,q1,q2,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
1030,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1058,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1064,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1066,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1090,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1141,1,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1166,4,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1174,16,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1180,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1237,35,5,3.7844094573804585,3.2841823056300266,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1243,1,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1274,3,2,1.8898815748423097,1.7999999999999998,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1310,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1366,1,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
137,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1372,34,3,2.5750391893549462,2.284584980237154,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1464,24,5,3.1680210466563548,2.32258064516129,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1477,3,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1491,2,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
152,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1537,3,2,1.8898815748423097,1.7999999999999998,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1549,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1556,10,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
157,1,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1587,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1660,1,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1677,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1686,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1694,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1706,9,3,2.8888455168024434,2.793103448275862,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1768,2,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1826,20,2,1.7547653506033232,1.6,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1837,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1875,7,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1887,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1893,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1992,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1996,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2011,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2021,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2034,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2076,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2142,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
215,26,3,2.723092179830518,2.5413533834586466,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2182,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2205,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
223,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2257,3,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2276,2,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
2312,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
288,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
291,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
391,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
400,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
408,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
423,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
476,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
609,5,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
620,48,5,2.3258076226874937,1.7066666666666668,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
633,55,4,1.6635965773260204,1.302195436934998,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
644,7,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
730,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
788,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
792,6,2,2,2,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
805,20,3,1.48349040282257,1.2269938650306749,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
812,10,3,2.971004096610006,2.941176470588235,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
827,17,2,1.8327132138707352,1.710059171597633,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
870,3,1,1,1,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
926,0,0,1,0,isopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
1030,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1058,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1064,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1066,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1090,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1141,1,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1166,4,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1174,16,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1180,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1237,35,5,3.7844094573804585,3.2841823056300266,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1243,1,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1274,3,2,1.8898815748423097,1.7999999999999998,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1310,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1366,1,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
137,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1372,29,2,1.8577689708565377,1.7484407484407485,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1464,22,4,2.5728726972786697,1.9836065573770492,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1477,3,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1491,2,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
152,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1537,3,2,1.8898815748423097,1.7999999999999998,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1549,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1556,10,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
157,1,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1587,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1660,1,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1677,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1686,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1694,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1706,9,3,2.8888455168024434,2.793103448275862,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1768,2,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1826,20,2,1.7547653506033232,1.6,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1837,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1875,7,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1887,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1893,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1992,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1996,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2011,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2021,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2034,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2076,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2142,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
215,17,2,1.7256340945282889,1.5621621621621624,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2182,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2205,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
223,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2257,3,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2276,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
2312,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
288,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
291,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
391,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
400,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
408,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
423,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
476,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
609,5,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
620,43,3,1.6670102894141288,1.3870967741935483,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
633,52,3,1.369500291576045,1.1685393258426964,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
644,7,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
730,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
788,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
792,3,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
805,20,3,1.48349040282257,1.2269938650306749,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
812,7,2,1.9796263300525183,1.9600000000000004,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
827,17,2,1.8327132138707352,1.710059171597633,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
870,3,1,1,1,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
926,0,0,1,0,isopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
1030,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1058,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1064,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1066,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1090,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1141,1,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1166,4,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1174,16,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1180,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1237,35,5,3.7844094573804585,3.2841823056300266,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1243,1,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1274,3,2,1.8898815748423097,1.7999999999999998,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1310,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1366,1,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
137,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1372,34,3,2.5750391893549462,2.284584980237154,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1464,24,4,2.884595243803232,2.267716535433071,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1477,3,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1491,2,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
152,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1537,3,2,1.8898815748423097,1.7999999999999998,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1549,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1556,10,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
157,1,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1587,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1660,1,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1677,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1686,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1694,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1706,9,3,2.8888455168024434,2.793103448275862,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1768,2,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1826,20,2,1.7547653506033232,1.6,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1837,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1875,7,1,1,1,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1887,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1893,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1992,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
1996,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
2011,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
2021,0,0,1,0,isopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
