source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:237094,Porcellio,237094,species:cdref:808781,Porcellio,808781,coherent_random,6,0.1,TRUE,0.6000000000000001
species:cdnom:237088,Porcellio,237088,species:cdref:237095,Porcellio,237095,coherent_random,30,0.1,TRUE,3
species:cdnom:237025,Armadillidium,237025,species:cdref:237012,Armadillidium,237012,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:237023,Armadillidium,237023,species:cdref:237017,Armadillidium,237017,coherent_random,1,0.1,TRUE,0.1
species:cdnom:237061,Philoscia,237061,species:cdref:237060,Philoscia,237060,coherent_random,169,0.1,TRUE,16.900000000000002
species:cdnom:237051,Oniscus,237051,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:237139,Hyloniscus,237139,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:311068,Orthometopon,311068,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:699887,Armadillidium,699887,species:cdref:237017,Armadillidium,237017,coherent_random,43,0.1,TRUE,4.3
species:cdnom:237114,Trachelipus,237114,species:cdnom:237115,Trachelipus,237115,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:18829,Armadillidium,18829,species:cdref:237026,Armadillidium,237026,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:311119,Trachelipus,311119,species:cdnom:237114,Trachelipus,237114,coherent_random,17,0.1,TRUE,1.7000000000000002
species:cdnom:237057,Chaetophiloscia,237057,species:cdnom:237055,Chaetophiloscia,237055,coherent_random,19,0.1,TRUE,1.9000000000000001
species:cdnom:237055,Chaetophiloscia,237055,species:cdnom:237057,Chaetophiloscia,237057,coherent_random,9,0.1,TRUE,0.9
species:cdnom:237211,Trichoniscus,237211,species:cdref:237207,Trichoniscus,237207,coherent_random,13,0.1,TRUE,1.3
species:cdnom:237115,Trachelipus,237115,species:cdnom:311119,Trachelipus,311119,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:781044,Eluma,NA,NA,NA,NA,no_candidate,9,0.1,FALSE,0
