source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:1012421,Armadillidium,NA,species:cdnom:237023,Armadillidium,NA,coherent_random,16,0.1,TRUE,1.6
species:cdnom:237023,Armadillidium,NA,species:cdnom:237025,Armadillidium,NA,coherent_random,4,0.1,TRUE,0.4
species:cdnom:237025,Armadillidium,NA,species:cdnom:699887,Armadillidium,NA,coherent_random,13,0.1,TRUE,1.3
species:cdnom:237061,Philoscia,NA,NA,NA,NA,no_candidate,300,0.1,FALSE,0
species:cdnom:237088,Porcellio,NA,species:cdnom:237094,Porcellio,NA,coherent_random,16,0.1,TRUE,1.6
species:cdnom:237139,Hyloniscus,NA,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:237094,Porcellio,NA,species:cdnom:18820,Porcellio,NA,coherent_random,4,0.1,TRUE,0.4
species:cdnom:18820,Porcellio,NA,species:cdnom:237094,Porcellio,NA,coherent_random,12,0.1,TRUE,1.2000000000000002
species:cdnom:237114,Trachelipus,NA,species:cdnom:311119,Trachelipus,NA,coherent_random,25,0.1,TRUE,2.5
species:cdnom:237051,Oniscus,NA,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:311119,Trachelipus,NA,species:cdnom:237115,Trachelipus,NA,coherent_random,50,0.1,TRUE,5
species:cdnom:18829,Armadillidium,NA,species:cdnom:237025,Armadillidium,NA,coherent_random,108,0.1,TRUE,10.8
species:cdnom:699887,Armadillidium,NA,species:cdnom:237025,Armadillidium,NA,coherent_random,178,0.1,TRUE,17.8
species:cdnom:237055,Chaetophiloscia,NA,species:cdnom:237057,Chaetophiloscia,NA,coherent_random,16,0.1,TRUE,1.6
species:cdnom:237057,Chaetophiloscia,NA,species:cdnom:237055,Chaetophiloscia,NA,coherent_random,86,0.1,TRUE,8.6
species:cdnom:237050,Ligidium,NA,NA,NA,NA,no_candidate,6,0.1,FALSE,0
species:cdnom:237115,Trachelipus,NA,species:cdnom:311119,Trachelipus,NA,coherent_random,2,0.1,TRUE,0.2
species:cdnom:781044,Eluma,NA,NA,NA,NA,no_candidate,4,0.1,FALSE,0
