source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:1012421,Armadillidium,NA,species:cdref:18827,Armadillidium,18827,coherent_random,16,0.1,TRUE,1.6
species:cdnom:237023,Armadillidium,237023,species:cdnom:237025,Armadillidium,237025,coherent_random,4,0.1,TRUE,0.4
species:cdnom:237025,Armadillidium,237025,species:cdref:237012,Armadillidium,237012,coherent_random,13,0.1,TRUE,1.3
species:cdnom:237061,Philoscia,237061,species:cdref:237060,Philoscia,237060,coherent_random,300,0.1,TRUE,30
species:cdnom:237088,Porcellio,237088,species:cdnom:237094,Porcellio,237094,coherent_random,16,0.1,TRUE,1.6
species:cdnom:237139,Hyloniscus,237139,NA,NA,NA,no_candidate,1,0.1,FALSE,0
species:cdnom:237094,Porcellio,237094,species:cdref:310911,Porcellio,310911,coherent_random,4,0.1,TRUE,0.4
species:cdnom:18820,Porcellio,18820,species:cdref:310911,Porcellio,310911,coherent_random,12,0.1,TRUE,1.2000000000000002
species:cdnom:237114,Trachelipus,237114,species:cdnom:311119,Trachelipus,311119,coherent_random,25,0.1,TRUE,2.5
species:cdnom:237051,Oniscus,237051,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:311119,Trachelipus,311119,species:cdnom:237114,Trachelipus,237114,coherent_random,50,0.1,TRUE,5
species:cdnom:18829,Armadillidium,18829,species:cdnom:699887,Armadillidium,699887,coherent_random,108,0.1,TRUE,10.8
species:cdnom:699887,Armadillidium,699887,species:cdref:237022,Armadillidium,237022,coherent_random,178,0.1,TRUE,17.8
species:cdnom:237055,Chaetophiloscia,237055,species:cdnom:237057,Chaetophiloscia,237057,coherent_random,16,0.1,TRUE,1.6
species:cdnom:237057,Chaetophiloscia,237057,species:cdnom:237055,Chaetophiloscia,237055,coherent_random,86,0.1,TRUE,8.6
species:cdnom:237050,Ligidium,237050,NA,NA,NA,no_candidate,6,0.1,FALSE,0
species:cdnom:237115,Trachelipus,237115,species:cdnom:237114,Trachelipus,237114,coherent_random,2,0.1,TRUE,0.2
species:cdnom:781044,Eluma,NA,NA,NA,NA,no_candidate,4,0.1,FALSE,0
