observed_taxon_unit,observed_cd_nom,observed_label,observed_genus,observed_family,cd_ref,accepted_name,genus,family,match_method,in_regional_pool,override_note,n_regional_candidates,n_alternative_candidates,has_alternative_candidate,assemblage_id
species:cdnom:1180,1180,Haplodrassus signifer,Haplodrassus,Gphosidae,1180,Haplodrassus signifer,Haplodrassus,Gnaphosidae,cd_nom_alias,TRUE,NA,15,14,TRUE,araneae_pitfall
species:cdnom:806888,806888,Agyneta rurestris,Agyneta,Linyphiidae,806888,Agyneta rurestris,Agyneta,Linyphiidae,cd_nom_alias,TRUE,NA,21,20,TRUE,araneae_pitfall
species:cdnom:233745,233745,Prinerigone vagans,Prinerigone,Linyphiidae,233745,Prinerigone vagans,Prinerigone,Linyphiidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:233806,233806,Trichopterna cucurbitina,Trichopterna,Linyphiidae,233806,Trichopterna cucurbitina,Trichopterna,Linyphiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:233880,233880,Pardosa cribrata,Pardosa,Lycosidae,233880,Pardosa cribrata,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:907035,907035,Pardosa tenuipes,Pardosa,Lycosidae,907035,Pardosa tenuipes,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:907604,907604,Haplodrassus rufipes,Haplodrassus,Gphosidae,907604,Haplodrassus rufipes,Haplodrassus,Gnaphosidae,cd_nom_alias,TRUE,NA,15,14,TRUE,araneae_pitfall
species:cdnom:233458,233458,Alioranus pauper,Alioranus,Linyphiidae,233458,Alioranus pauper,Alioranus,Linyphiidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:233757,233757,Silometopus curtus,Silometopus,Linyphiidae,233757,Silometopus curtus,Silometopus,Linyphiidae,cd_nom_alias,TRUE,NA,7,6,TRUE,araneae_pitfall
species:cdnom:233354,233354,Micaria pallipes,Micaria,Gphosidae,233354,Micaria pallipes,Micaria,Gnaphosidae,cd_nom_alias,TRUE,NA,21,20,TRUE,araneae_pitfall
species:cdnom:1759,1759,Zora manicata,Zora,Miturgidae,1759,Zora manicata,Zora,Miturgidae,cd_nom_alias,TRUE,NA,7,6,TRUE,araneae_pitfall
species:cdnom:719821,719821,Eratigena picta,Eratigena,Agelenidae,719821,Eratigena picta,Eratigena,Agelenidae,cd_nom_alias,TRUE,NA,8,7,TRUE,araneae_pitfall
species:cdnom:233660,233660,Metopobactrus verticalis,Metopobactrus,Linyphiidae,NA,Metopobactrus verticalis,Metopobactrus,Linyphiidae,unmatched,FALSE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:1788,1788,Phrurolithus nigrinus,Phrurolithus,Phrurolithidae,1788,Phrurolithus nigrinus,Phrurolithus,Phrurolithidae,cd_nom_alias,TRUE,NA,6,5,TRUE,araneae_pitfall
species:cdnom:1894,1894,Alopecosa albofasciata,Alopecosa,Lycosidae,1894,Alopecosa albofasciata,Alopecosa,Lycosidae,cd_nom_alias,TRUE,NA,14,13,TRUE,araneae_pitfall
species:cdnom:457240,457240,Ipa keyserlingi,Ipa,Linyphiidae,457240,Ipa keyserlingi,Ipa,Linyphiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:1781,1781,Scotina celans,Scotina,Liocranidae,1781,Scotina celans,Scotina,Liocranidae,cd_nom_alias,TRUE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:457342,457342,Pardosa saltans,Pardosa,Lycosidae,457342,Pardosa saltans,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:457273,457273,Oonops domesticus,Oonops,Oonopidae,457273,Oonops domesticus,Oonops,Oonopidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:233321,233321,Drassyllus villicus,Drassyllus,Gphosidae,233321,Drassyllus villicus,Drassyllus,Gnaphosidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:233417,233417,Zelotes oblongus,Zelotes,Gphosidae,233417,Zelotes oblongus,Zelotes,Gnaphosidae,cd_nom_alias,TRUE,NA,36,35,TRUE,araneae_pitfall
species:cdnom:233864,233864,Scotina palliardii,Scotina,Liocranidae,233864,Scotina palliardii,Scotina,Liocranidae,cd_nom_alias,TRUE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:887090,887090,Alopecosa farinosa,Alopecosa,Lycosidae,887090,Alopecosa farinosa,Alopecosa,Lycosidae,cd_nom_alias,TRUE,NA,14,13,TRUE,araneae_pitfall
species:cdnom:1897,1897,Alopecosa pulverulenta,Alopecosa,Lycosidae,1897,Alopecosa pulverulenta,Alopecosa,Lycosidae,cd_nom_alias,TRUE,NA,14,13,TRUE,araneae_pitfall
species:cdnom:1872,1872,Hahnia nava,Hahnia,Hahniidae,1872,Hahnia nava,Hahnia,Hahniidae,cd_nom_alias,TRUE,NA,6,5,TRUE,araneae_pitfall
species:cdnom:924,924,Aulonia albimana,Aulonia,Lycosidae,924,Aulonia albimana,Aulonia,Lycosidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:1924,1924,Pardosa hortensis,Pardosa,Lycosidae,1924,Pardosa hortensis,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:233832,233832,Walckenaeria corniculans,Walckenaeria,Linyphiidae,233832,Walckenaeria corniculans,Walckenaeria,Linyphiidae,cd_nom_alias,TRUE,NA,25,24,TRUE,araneae_pitfall
species:cdnom:806889,806889,Agyneta saxatilis,Agyneta,Linyphiidae,806889,Agyneta saxatilis,Agyneta,Linyphiidae,cd_nom_alias,TRUE,NA,21,20,TRUE,araneae_pitfall
species:cdnom:1378,1378,Centromerus dilutus,Centromerus,Linyphiidae,1378,Centromerus dilutus,Centromerus,Linyphiidae,cd_nom_alias,TRUE,NA,26,25,TRUE,araneae_pitfall
species:cdnom:1421,1421,Minyriolus pusillus,Minyriolus,Linyphiidae,1421,Minyriolus pusillus,Minyriolus,Linyphiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:233830,233830,Walckenaeria atrotibialis,Walckenaeria,Linyphiidae,233830,Walckenaeria atrotibialis,Walckenaeria,Linyphiidae,cd_nom_alias,TRUE,NA,25,24,TRUE,araneae_pitfall
species:cdnom:1774,1774,Agroeca brunnea,Agroeca,Liocranidae,1774,Agroeca brunnea,Agroeca,Liocranidae,cd_nom_alias,TRUE,NA,6,5,TRUE,araneae_pitfall
species:cdnom:1664,1664,Xysticus luctuosus,Xysticus,Thomisidae,1664,Xysticus luctuosus,Xysticus,Thomisidae,cd_nom_alias,TRUE,NA,25,24,TRUE,araneae_pitfall
species:cdnom:791746,791746,Iberina montana,Iberina,Hahniidae,791746,Iberina montana,Iberina,Hahniidae,cd_nom_alias,TRUE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:1941,1941,Trochosa terricola,Trochosa,Lycosidae,1941,Trochosa terricola,Trochosa,Lycosidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:1455,1455,Gongylidiellum latebricola,Gongylidiellum,Linyphiidae,1455,Gongylidiellum latebricola,Gongylidiellum,Linyphiidae,cd_nom_alias,TRUE,NA,4,3,TRUE,araneae_pitfall
species:cdnom:233783,233783,Tenuiphantes mengei,Tenuiphantes,Linyphiidae,233783,Tenuiphantes mengei,Tenuiphantes,Linyphiidae,cd_nom_alias,TRUE,NA,10,9,TRUE,araneae_pitfall
species:cdnom:1927,1927,Pardosa palustris,Pardosa,Lycosidae,1927,Pardosa palustris,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:1922,1922,Pardosa pullata,Pardosa,Lycosidae,1922,Pardosa pullata,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:233694,233694,Palliduphantes alutacius,Palliduphantes,Linyphiidae,233694,Palliduphantes alutacius,Palliduphantes,Linyphiidae,cd_nom_alias,TRUE,NA,15,14,TRUE,araneae_pitfall
species:cdnom:234166,234166,Ozyptila trux,Ozyptila,Thomisidae,234166,Ozyptila trux,Ozyptila,Thomisidae,cd_nom_alias,TRUE,NA,17,16,TRUE,araneae_pitfall
species:cdnom:233387,233387,Trachyzelotes pedestris,Trachyzelotes,Gphosidae,233387,Trachyzelotes pedestris,Trachyzelotes,Gnaphosidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:1323,1323,Enoplognatha thoracica,Enoplognatha,Theridiidae,1323,Enoplognatha thoracica,Enoplognatha,Theridiidae,cd_nom_alias,TRUE,NA,13,12,TRUE,araneae_pitfall
species:cdnom:457392,457392,Xysticus luctator,Xysticus,Thomisidae,457392,Xysticus luctator,Xysticus,Thomisidae,cd_nom_alias,TRUE,NA,25,24,TRUE,araneae_pitfall
species:cdnom:233170,233170,Histopona torpida,Histopona,Agelenidae,233170,Histopona torpida,Histopona,Agelenidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:886,886,Atypus affinis,Atypus,Atypidae,886,Atypus affinis,Atypus,Atypidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:233668,233668,Microneta viaria,Microneta,Linyphiidae,233668,Microneta viaria,Microneta,Linyphiidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:1786,1786,Phrurolithus festivus,Phrurolithus,Phrurolithidae,1786,Phrurolithus festivus,Phrurolithus,Phrurolithidae,cd_nom_alias,TRUE,NA,6,5,TRUE,araneae_pitfall
species:cdnom:233527,233527,Diplocephalus graecus,Diplocephalus,Linyphiidae,233527,Diplocephalus graecus,Diplocephalus,Linyphiidae,cd_nom_alias,TRUE,NA,13,12,TRUE,araneae_pitfall
species:cdnom:1446,1446,Erigone dentipalpis,Erigone,Linyphiidae,1446,Erigone dentipalpis,Erigone,Linyphiidae,cd_nom_alias,TRUE,NA,11,10,TRUE,araneae_pitfall
species:cdnom:1504,1504,Pelecopsis parallela,Pelecopsis,Linyphiidae,1504,Pelecopsis parallela,Pelecopsis,Linyphiidae,cd_nom_alias,TRUE,NA,10,9,TRUE,araneae_pitfall
species:cdnom:233787,233787,Tenuiphantes tenuis,Tenuiphantes,Linyphiidae,233787,Tenuiphantes tenuis,Tenuiphantes,Linyphiidae,cd_nom_alias,TRUE,NA,10,9,TRUE,araneae_pitfall
species:cdnom:457316,457316,Pachygnatha degeeri,Pachygnatha,Tetragthidae,457316,Pachygnatha degeeri,Pachygnatha,Tetragnathidae,cd_nom_alias,TRUE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:719829,719829,Civizelotes civicus,Civizelotes,Gphosidae,719829,Civizelotes civicus,Civizelotes,Gnaphosidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:938619,938619,Micaria micans,Micaria,Gphosidae,938619,Micaria micans,Micaria,Gnaphosidae,cd_nom_alias,TRUE,NA,21,20,TRUE,araneae_pitfall
species:cdnom:1405,1405,Diplostyla concolor,Diplostyla,Linyphiidae,1405,Diplostyla concolor,Diplostyla,Linyphiidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:233781,233781,Tenuiphantes flavipes,Tenuiphantes,Linyphiidae,233781,Tenuiphantes flavipes,Tenuiphantes,Linyphiidae,cd_nom_alias,TRUE,NA,10,9,TRUE,araneae_pitfall
species:cdnom:806894,806894,Piratula hygrophila,Piratula,Lycosidae,806894,Piratula hygrophila,Piratula,Lycosidae,cd_nom_alias,TRUE,NA,4,3,TRUE,araneae_pitfall
species:cdnom:806896,806896,Piratula latitans,Piratula,Lycosidae,806896,Piratula latitans,Piratula,Lycosidae,cd_nom_alias,TRUE,NA,4,3,TRUE,araneae_pitfall
species:cdnom:234165,234165,Ozyptila simplex,Ozyptila,Thomisidae,234165,Ozyptila simplex,Ozyptila,Thomisidae,cd_nom_alias,TRUE,NA,17,16,TRUE,araneae_pitfall
species:cdnom:233895,233895,Trochosa ruricola,Trochosa,Lycosidae,233895,Trochosa ruricola,Trochosa,Lycosidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:233320,233320,Drassyllus pusillus,Drassyllus,Gphosidae,233320,Drassyllus pusillus,Drassyllus,Gnaphosidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:806883,806883,Agyneta mollis,Agyneta,Linyphiidae,806883,Agyneta mollis,Agyneta,Linyphiidae,cd_nom_alias,TRUE,NA,21,20,TRUE,araneae_pitfall
species:cdnom:233805,233805,Trichopterna cito,Trichopterna,Linyphiidae,233805,Trichopterna cito,Trichopterna,Linyphiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:1905,1905,Arctosa leopardus,Arctosa,Lycosidae,1905,Arctosa leopardus,Arctosa,Lycosidae,cd_nom_alias,TRUE,NA,15,14,TRUE,araneae_pitfall
species:cdnom:457340,457340,Pardosa prativaga,Pardosa,Lycosidae,457340,Pardosa prativaga,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:1472,1472,Oedothorax fuscus,Oedothorax,Linyphiidae,1472,Oedothorax fuscus,Oedothorax,Linyphiidae,cd_nom_alias,TRUE,NA,7,6,TRUE,araneae_pitfall
species:cdnom:233697,233697,Palliduphantes cebennicus,Palliduphantes,Linyphiidae,233697,Palliduphantes cebennicus,Palliduphantes,Linyphiidae,cd_nom_alias,TRUE,NA,15,14,TRUE,araneae_pitfall
species:cdnom:931,931,Pirata piraticus,Pirata,Lycosidae,931,Pirata piraticus,Pirata,Lycosidae,cd_nom_alias,TRUE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:1202,1202,Zelotes apricorum,Zelotes,Gphosidae,1202,Zelotes apricorum,Zelotes,Gnaphosidae,cd_nom_alias,TRUE,NA,36,35,TRUE,araneae_pitfall
species:cdnom:1400,1400,Ceratinella brevis,Ceratinella,Linyphiidae,1400,Ceratinella brevis,Ceratinella,Linyphiidae,cd_nom_alias,TRUE,NA,4,3,TRUE,araneae_pitfall
species:cdnom:233709,233709,Palliduphantes pallidus,Palliduphantes,Linyphiidae,233709,Palliduphantes pallidus,Palliduphantes,Linyphiidae,cd_nom_alias,TRUE,NA,15,14,TRUE,araneae_pitfall
species:cdnom:1320,1320,Asagena phalerata,Asagena,Theridiidae,1320,Asagena phalerata,Asagena,Theridiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:1271,1271,Euryopis flavomaculata,Euryopis,Theridiidae,1271,Euryopis flavomaculata,Euryopis,Theridiidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:836055,836055,Centromerus brevipalpus,Centromerus,Linyphiidae,836055,Centromerus brevipalpus,Centromerus,Linyphiidae,cd_nom_alias,TRUE,NA,26,25,TRUE,araneae_pitfall
species:cdnom:1377,1377,Centromerus sylvaticus,Centromerus,Linyphiidae,1377,Centromerus sylvaticus,Centromerus,Linyphiidae,cd_nom_alias,TRUE,NA,26,25,TRUE,araneae_pitfall
species:cdnom:233788,233788,Tenuiphantes zimmermanni,Tenuiphantes,Linyphiidae,233788,Tenuiphantes zimmermanni,Tenuiphantes,Linyphiidae,cd_nom_alias,TRUE,NA,10,9,TRUE,araneae_pitfall
species:cdnom:233861,233861,Liocranoeca striata,Liocranoeca,Liocranidae,233861,Liocranoeca striata,Liocranoeca,Liocranidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:1442,1442,Dicymbium nigrum,Dicymbium,Linyphiidae,1442,Dicymbium nigrum,Dicymbium,Linyphiidae,cd_nom_alias,TRUE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:234067,234067,Pachygnatha clercki,Pachygnatha,Tetragthidae,234067,Pachygnatha clercki,Pachygnatha,Tetragnathidae,cd_nom_alias,TRUE,NA,3,2,TRUE,araneae_pitfall
species:cdnom:1437,1437,Bathyphantes gracilis,Bathyphantes,Linyphiidae,1437,Bathyphantes gracilis,Bathyphantes,Linyphiidae,cd_nom_alias,TRUE,NA,7,6,TRUE,araneae_pitfall
species:cdnom:1392,1392,Centromerita bicolor,Centromerita,Linyphiidae,1392,Centromerita bicolor,Centromerita,Linyphiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:1457,1457,Gongylidiellum vivum,Gongylidiellum,Linyphiidae,1457,Gongylidiellum vivum,Gongylidiellum,Linyphiidae,cd_nom_alias,TRUE,NA,4,3,TRUE,araneae_pitfall
species:cdnom:1425,1425,Tiso vagans,Tiso,Linyphiidae,1425,Tiso vagans,Tiso,Linyphiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:233318,233318,Drassyllus praeficus,Drassyllus,Gphosidae,233318,Drassyllus praeficus,Drassyllus,Gnaphosidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:1184,1184,Haplodrassus dalmatensis,Haplodrassus,Gphosidae,1184,Haplodrassus dalmatensis,Haplodrassus,Gnaphosidae,cd_nom_alias,TRUE,NA,15,14,TRUE,araneae_pitfall
species:cdnom:233350,233350,Micaria albovittata,Micaria,Gphosidae,233350,Micaria albovittata,Micaria,Gnaphosidae,cd_nom_alias,TRUE,NA,21,20,TRUE,araneae_pitfall
species:cdnom:233379,233379,Setaphis carmeli,Setaphis,Gphosidae,233379,Setaphis carmeli,Setaphis,Gnaphosidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:1926,1926,Pardosa agrestis,Pardosa,Lycosidae,1926,Pardosa agrestis,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:1643,1643,Xysticus kochi,Xysticus,Thomisidae,1643,Xysticus kochi,Xysticus,Thomisidae,cd_nom_alias,TRUE,NA,25,24,TRUE,araneae_pitfall
species:cdnom:1237,1237,Zodarion italicum,Zodarion,Zodariidae,1237,Zodarion italicum,Zodarion,Zodariidae,cd_nom_alias,TRUE,NA,14,13,TRUE,araneae_pitfall
species:cdnom:1085,1085,Argenna subnigra,Argenna,Dictynidae,1085,Argenna subnigra,Argenna,Dictynidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:233466,233466,Araeoncus humilis,Araeoncus,Linyphiidae,233466,Araeoncus humilis,Araeoncus,Linyphiidae,cd_nom_alias,TRUE,NA,5,4,TRUE,araneae_pitfall
species:cdnom:1445,1445,Erigone atra,Erigone,Linyphiidae,1445,Erigone atra,Erigone,Linyphiidae,cd_nom_alias,TRUE,NA,11,10,TRUE,araneae_pitfall
species:cdnom:836361,836361,Erigone autumnalis,Erigone,Linyphiidae,NA,Erigone autumnalis,Erigone,Linyphiidae,unmatched,FALSE,NA,11,10,TRUE,araneae_pitfall
species:cdnom:233688,233688,Oedothorax apicatus,Oedothorax,Linyphiidae,233688,Oedothorax apicatus,Oedothorax,Linyphiidae,cd_nom_alias,TRUE,NA,7,6,TRUE,araneae_pitfall
species:cdnom:1474,1474,Oedothorax retusus,Oedothorax,Linyphiidae,1474,Oedothorax retusus,Oedothorax,Linyphiidae,cd_nom_alias,TRUE,NA,7,6,TRUE,araneae_pitfall
species:cdnom:1929,1929,Pardosa proxima,Pardosa,Lycosidae,1929,Pardosa proxima,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:1937,1937,Pardosa vittata,Pardosa,Lycosidae,1937,Pardosa vittata,Pardosa,Lycosidae,cd_nom_alias,TRUE,NA,39,38,TRUE,araneae_pitfall
species:cdnom:233973,233973,Chalcoscirtus infimus,Chalcoscirtus,Salticidae,233973,Chalcoscirtus infimus,Chalcoscirtus,Salticidae,cd_nom_alias,TRUE,NA,2,1,TRUE,araneae_pitfall
species:cdnom:458766,458766,Mermessus trilobatus,Mermessus,Linyphiidae,NA,Mermessus trilobatus,Mermessus,Linyphiidae,unmatched,FALSE,NA,0,0,FALSE,araneae_pitfall
species:cdnom:233876,233876,Hogna radiata,Hogna,Lycosidae,233876,Hogna radiata,Hogna,Lycosidae,cd_nom_alias,TRUE,NA,1,0,FALSE,araneae_pitfall
species:cdnom:233426,233426,Zelotes tenuis,Zelotes,Gphosidae,233426,Zelotes tenuis,Zelotes,Gnaphosidae,cd_nom_alias,TRUE,NA,36,35,TRUE,araneae_pitfall
species:cdnom:234053,234053,Talavera aequipes,Talavera,Salticidae,234053,Talavera aequipes,Talavera,Salticidae,cd_nom_alias,TRUE,NA,8,7,TRUE,araneae_pitfall
