observed_taxon_unit,observed_cd_nom,observed_label,observed_genus,observed_family,cd_ref,accepted_name,genus,family,match_method,in_regional_pool,override_note,n_regional_candidates,n_alternative_candidates,has_alternative_candidate,assemblage_id
species:cdnom:216150,216150,Parisotoma notabilis,Parisotoma,Isotomidae,216150,Parisotoma notabilis,Parisotoma,Isotomidae,cd_nom_alias,TRUE,NA,2,1,TRUE,collembola_soil_core
species:cdnom:216154,216154,Proisotoma minima,Proisotoma,Isotomidae,216154,Proisotoma minima,Proisotoma,Isotomidae,cd_nom_alias,TRUE,NA,5,4,TRUE,collembola_soil_core
species:cdnom:216271,216271,Lepidocyrtus lanuginosus,Lepidocyrtus,Entomobryidae,216271,Lepidocyrtus lanuginosus,Lepidocyrtus,Entomobryidae,cd_nom_alias,TRUE,NA,9,8,TRUE,collembola_soil_core
species:cdnom:655839,655839,Hemisotoma thermophila,Hemisotoma,Isotomidae,655839,Hemisotoma thermophila,Hemisotoma,Isotomidae,cd_nom_alias,TRUE,NA,3,2,TRUE,collembola_soil_core
species:cdnom:216289,216289,Heteromurus major,Heteromurus,Entomobryidae,216289,Heteromurus major,Heteromurus,Entomobryidae,cd_nom_alias,TRUE,NA,3,2,TRUE,collembola_soil_core
species:cdnom:215802,215802,Ceratophysella denticulata,Ceratophysella,Hypogastruridae,215802,Ceratophysella denticulata,Ceratophysella,Hypogastruridae,cd_nom_alias,TRUE,NA,16,15,TRUE,collembola_soil_core
species:cdnom:216107,216107,Folsomia quadrioculata,Folsomia,Isotomidae,216107,Folsomia quadrioculata,Folsomia,Isotomidae,cd_nom_alias,TRUE,NA,23,22,TRUE,collembola_soil_core
species:cdnom:216125,216125,Isotomiella minor,Isotomiella,Isotomidae,216125,Isotomiella minor,Isotomiella,Isotomidae,cd_nom_alias,TRUE,NA,4,3,TRUE,collembola_soil_core
species:cdnom:216329,216329,Tomocerina minuta,Tomocerina,Tomoceridae,216329,Tomocerina minuta,Tomocerina,Tomoceridae,cd_nom_alias,TRUE,NA,1,0,FALSE,collembola_soil_core
species:cdnom:216346,216346,Arrhopalites caecus,Arrhopalites,Arrhopalitidae,216346,Arrhopalites caecus,Arrhopalites,Arrhopalitidae,cd_nom_alias,TRUE,NA,5,4,TRUE,collembola_soil_core
species:cdnom:28898,28898,Isotoma viridis,Isotoma,Isotomidae,28898,Isotoma viridis,Isotoma,Isotomidae,cd_nom_alias,TRUE,NA,2,1,TRUE,collembola_soil_core
species:cdnom:216206,216206,Pseudosinella alba,Pseudosinella,Entomobryidae,216206,Pseudosinella alba,Pseudosinella,Entomobryidae,cd_nom_alias,TRUE,NA,62,61,TRUE,collembola_soil_core
species:cdnom:884697,884697,Proisotomodes debilis,Proisotomodes,Isotomidae,884697,Proisotomodes debilis,Proisotomodes,Isotomidae,cd_nom_alias,TRUE,NA,3,2,TRUE,collembola_soil_core
species:cdnom:216302,216302,Entomobrya lanuginosa,Entomobrya,Entomobryidae,216302,Entomobrya lanuginosa,Entomobrya,Entomobryidae,cd_nom_alias,TRUE,NA,21,20,TRUE,collembola_soil_core
species:cdnom:216181,216181,Tetracanthella perezi,Tetracanthella,Isotomidae,216181,Tetracanthella perezi,Tetracanthella,Isotomidae,cd_nom_alias,TRUE,NA,22,21,TRUE,collembola_soil_core
species:cdnom:216396,216396,Sminthurinus elegans,Sminthurinus,Katiannidae,216396,Sminthurinus elegans,Sminthurinus,Katiannidae,cd_nom_alias,TRUE,NA,11,10,TRUE,collembola_soil_core
species:cdnom:216361,216361,Bourletiella arvalis,Bourletiella,Bourletiellidae,216361,Bourletiella arvalis,Bourletiella,Bourletiellidae,cd_nom_alias,TRUE,NA,10,9,TRUE,collembola_soil_core
species:cdnom:215873,215873,Brachystomella parvula,Brachystomella,Brachystomellidae,215873,Brachystomella parvula,Brachystomella,Brachystomellidae,cd_nom_alias,TRUE,NA,3,2,TRUE,collembola_soil_core
species:cdnom:837807,837807,Ceratophysella gibbosa,Ceratophysella,Hypogastruridae,NA,Ceratophysella gibbosa,Ceratophysella,Hypogastruridae,unmatched,FALSE,NA,16,15,TRUE,collembola_soil_core
species:cdnom:216395,216395,Sminthurinus aureus,Sminthurinus,Katiannidae,216395,Sminthurinus aureus,Sminthurinus,Katiannidae,cd_nom_alias,TRUE,NA,11,10,TRUE,collembola_soil_core
species:cdnom:216395,216395,Sminthurinus aureus,Sminthurinus,Katiannidae,216395,Sminthurinus aureus,Sminthurinus,Katiannidae,cd_nom_alias,TRUE,NA,11,10,TRUE,collembola_soil_core
species:cdnom:216409,216409,Sminthurus viridis,Sminthurus,Sminthuridae,216409,Sminthurus viridis,Sminthurus,Sminthuridae,cd_nom_alias,TRUE,NA,7,6,TRUE,collembola_soil_core
species:cdnom:216387,216387,Dicyrtomina minuta,Dicyrtomina,Dicyrtomidae,216387,Dicyrtomina minuta,Dicyrtomina,Dicyrtomidae,cd_nom_alias,TRUE,NA,6,5,TRUE,collembola_soil_core
species:cdnom:216387,216387,Dicyrtomina minuta,Dicyrtomina,Dicyrtomidae,216387,Dicyrtomina minuta,Dicyrtomina,Dicyrtomidae,cd_nom_alias,TRUE,NA,6,5,TRUE,collembola_soil_core
