taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:215792,215792,Acherongia minima,Acherongia,Hypogastruridae,FALSE,TAXREF_mainland
species:cdref:215793,215793,Acherontiella bougisi,Acherontiella,Hypogastruridae,FALSE,TAXREF_mainland
species:cdref:215794,215794,Acherontiella cassagnaui,Acherontiella,Hypogastruridae,FALSE,TAXREF_mainland
species:cdref:215795,215795,Acherontiella variabilis,Acherontiella,Hypogastruridae,FALSE,TAXREF_mainland
species:cdref:216198,216198,Actaletes neptuni,Actaletes,Actaletidae,FALSE,TAXREF_mainland
species:cdref:215975,215975,Aethiopellina hebrardi,Aethiopellina,Neanuridae,FALSE,TAXREF_mainland
species:cdref:216063,216063,Agrenia bidenticulata,Agrenia,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216415,216415,Allacma fusca,Allacma,Sminthuridae,FALSE,TAXREF_mainland
species:cdref:216416,216416,Allacma gallica,Allacma,Sminthuridae,FALSE,TAXREF_mainland
species:cdref:215970,215970,Anurida bonneti,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:1003489,1003489,Anurida caprariensis,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:215971,215971,Anurida ellipsoides,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:215972,215972,Anurida granaria,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:254751,254751,Anurida granulata,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:215973,215973,Anurida maritima,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:215974,215974,Anurida thalassophila,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:884387,884387,Anurida tullbergi,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:254758,254758,Anurida uniformis,Anurida,Neanuridae,FALSE,TAXREF_mainland
species:cdref:215968,215968,Anuridella calcarata,Anuridella,Neanuridae,FALSE,TAXREF_mainland
species:cdref:215969,215969,Anuridella marina,Anuridella,Neanuridae,FALSE,TAXREF_mainland
species:cdref:255120,255120,Anurophorus alpinus,Anurophorus,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216064,216064,Anurophorus barroudensis,Anurophorus,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216065,216065,Anurophorus laricis,Anurophorus,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216066,216066,Anurophorus massoudi,Anurophorus,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216070,216070,Anurophorus serratus,Anurophorus,Isotomidae,FALSE,TAXREF_mainland
species:cdref:884433,884433,Archaphorura serratotuberculata,Archaphorura,Onychiuridae,FALSE,TAXREF_mainland
species:cdref:216071,216071,Archisotoma besselsi,Archisotoma,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216072,216072,Archisotoma heraultensis,Archisotoma,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216073,216073,Archisotoma interstitialis,Archisotoma,Isotomidae,FALSE,TAXREF_mainland
species:cdref:979398,979398,Archisotoma megalops,Archisotoma,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216074,216074,Archisotoma pulchella,Archisotoma,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216075,216075,Archisotoma subbrucei,Archisotoma,Isotomidae,FALSE,TAXREF_mainland
species:cdref:216046,216046,Argonychiurus bertrandi,Argonychiurus,Onychiuridae,FALSE,TAXREF_mainland
species:cdref:216047,216047,Argonychiurus fistulosus,Argonychiurus,Onychiuridae,FALSE,TAXREF_mainland
species:cdref:216344,216344,Arrhopalites acanthophthalmus,Arrhopalites,Arrhopalitidae,FALSE,TAXREF_mainland
