observed_taxon_unit,observed_cd_nom,observed_label,observed_genus,observed_family,cd_ref,accepted_name,genus,family,match_method,in_regional_pool,override_note,n_regional_candidates,n_alternative_candidates,has_alternative_candidate,assemblage_id
species:cdnom:227458,227458,Glomeris valesiaca,Glomeris,Glomeridae,227458,Glomeris valesiaca,Glomeris,Glomeridae,cd_nom_alias,TRUE,NA,12,11,TRUE,diplopoda_hand_sorting
species:cdnom:969672,969672,Cylindroiulus spinosus,Cylindroiulus,Julidae,NA,Cylindroiulus spinosus,Cylindroiulus,Julidae,unmatched,FALSE,NA,11,10,TRUE,diplopoda_hand_sorting
species:cdnom:64859,64859,Glomeris marginata,Glomeris,Glomeridae,64859,Glomeris marginata,Glomeris,Glomeridae,cd_nom_alias,TRUE,NA,12,11,TRUE,diplopoda_hand_sorting
species:cdnom:227618,227618,Allajulus nitidus,Allajulus,Julidae,227618,Allajulus nitidus,Allajulus,Julidae,cd_nom_alias,TRUE,NA,1,0,FALSE,diplopoda_hand_sorting
species:cdnom:227676,227676,Tachypodoiulus niger,Tachypodoiulus,Julidae,227676,Tachypodoiulus niger,Tachypodoiulus,Julidae,cd_nom_alias,TRUE,NA,1,0,FALSE,diplopoda_hand_sorting
species:cdnom:227454,227454,Glomeris intermedia,Glomeris,Glomeridae,227454,Glomeris intermedia,Glomeris,Glomeridae,cd_nom_alias,TRUE,NA,12,11,TRUE,diplopoda_hand_sorting
species:cdnom:227473,227473,Polyzonium germanicum,Polyzonium,Polyzoniidae,227473,Polyzonium germanicum,Polyzonium,Polyzoniidae,cd_nom_alias,TRUE,NA,1,0,FALSE,diplopoda_hand_sorting
species:cdnom:227522,227522,Melogona gallica,Melogona,Chordeumatidae,227522,Melogona gallica,Melogona,Chordeumatidae,cd_nom_alias,TRUE,NA,2,1,TRUE,diplopoda_hand_sorting
species:cdnom:227628,227628,Cylindroiulus londinensis,Cylindroiulus,Julidae,227628,Cylindroiulus londinensis,Cylindroiulus,Julidae,cd_nom_alias,TRUE,NA,11,10,TRUE,diplopoda_hand_sorting
species:cdnom:227687,227687,Ophiodesmus albonanus,Ophiodesmus,Macrosternodesmidae,227687,Ophiodesmus albonanus,Ophiodesmus,Macrosternodesmidae,cd_nom_alias,TRUE,NA,1,0,FALSE,diplopoda_hand_sorting
species:cdnom:227593,227593,Blaniulus guttulatus,Blaniulus,Blaniulidae,227593,Blaniulus guttulatus,Blaniulus,Blaniulidae,cd_nom_alias,TRUE,NA,8,7,TRUE,diplopoda_hand_sorting
species:cdnom:227692,227692,Brachydesmus superus,Brachydesmus,Polydesmidae,227692,Brachydesmus superus,Brachydesmus,Polydesmidae,cd_nom_alias,TRUE,NA,4,3,TRUE,diplopoda_hand_sorting
