taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:227465,227465,Adenomeris gibbosa,Adenomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227466,227466,Adenomeris hispida,Adenomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdnom:227618,227618,Allajulus nitidus,Allajulus,Julidae,TRUE,observed_RMQS
species:cdref:227488,227488,Anamastigona pulchella,Anamastigona,Anthroleucosomatidae,FALSE,TAXREF_mainland
species:cdref:965642,965642,Anthogona variegatum,Anthogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227590,227590,Archiboreoiulus pallidus,Archiboreoiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227591,227591,Archiboreoiulus sollaudi,Archiboreoiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:976250,976250,Archichoneiulus brevicornis,Archichoneiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227689,227689,Archipolydesmus ribauti,Archipolydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:965780,965780,Atractosoma unicolor,Atractosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:887306,887306,Autaretia aliciae,Autaretia,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227592,227592,Blaniulus dollfusi,Blaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdnom:227593,227593,Blaniulus guttulatus,Blaniulus,Blaniulidae,TRUE,observed_RMQS
species:cdref:227594,227594,Blaniulus lichtensteini,Blaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227596,227596,Blaniulus mayeti,Blaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227597,227597,Blaniulus orientalis,Blaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227598,227598,Blaniulus troglobius,Blaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227600,227600,Blaniulus velatus,Blaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227601,227601,Blaniulus virei,Blaniulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227603,227603,Boreoiulus tenuis,Boreoiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227491,227491,Brachychaeteuma bagnalli,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227492,227492,Brachychaeteuma bradeae,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227493,227493,Brachychaeteuma caduriense,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227494,227494,Brachychaeteuma furcatum,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:885337,885337,Brachychaeteuma herrioti,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227495,227495,Brachychaeteuma melanops,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227496,227496,Brachychaeteuma peniculatum,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227497,227497,Brachychaeteuma plumosum,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227498,227498,Brachychaeteuma provinciale,Brachychaeteuma,Brachychaeteumatidae,FALSE,TAXREF_mainland
species:cdref:227690,227690,Brachydesmus exiguus,Brachydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227691,227691,Brachydesmus proximus,Brachydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:1030772,1030772,Brachydesmus subterraneus,Brachydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdnom:227692,227692,Brachydesmus superus,Brachydesmus,Polydesmidae,TRUE,observed_RMQS
species:cdref:227620,227620,Brachyiulus lusitanus,Brachyiulus,Julidae,FALSE,TAXREF_mainland
species:cdnom:227621,227621,Brachyiulus pusillus,Brachyiulus,Julidae,TRUE,observed_RMQS
species:cdref:227563,227563,Broelemanneuma gineti,Broelemanneuma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227564,227564,Broelemanneuma palmatum,Broelemanneuma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227565,227565,Broelemanneuma pectiniger,Broelemanneuma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227476,227476,Callipus corsicus,Callipus,Callipodidae,FALSE,TAXREF_mainland
species:cdref:227477,227477,Callipus foetidissimus,Callipus,Callipodidae,FALSE,TAXREF_mainland
species:cdref:227489,227489,Camptogona delamarei,Camptogona,Anthroleucosomatidae,FALSE,TAXREF_mainland
species:cdref:227490,227490,Camptogona duboscqui,Camptogona,Anthroleucosomatidae,FALSE,TAXREF_mainland
species:cdref:227540,227540,Ceratosphys amoena,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:965645,965645,Ceratosphys amoena,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:965646,965646,Ceratosphys amoena,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227541,227541,Ceratosphys banyulensis,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227542,227542,Ceratosphys guttata,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227543,227543,Ceratosphys nivium,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:400405,400405,Ceratosphys occidentalis,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227544,227544,Ceratosphys picta,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227545,227545,Ceratosphys simoni,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227546,227546,Ceratosphys vandeli,Ceratosphys,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227499,227499,Chamaesoma broelemanni,Chamaesoma,Chamaesomatidae,FALSE,TAXREF_mainland
species:cdref:227604,227604,Choneiulus palmatus,Choneiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227605,227605,Choneiulus subterraneus,Choneiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227510,227510,Chordeuma consoranense,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227511,227511,Chordeuma iluronense,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227512,227512,Chordeuma inornatum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227513,227513,Chordeuma intermedium,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227514,227514,Chordeuma montanum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227515,227515,Chordeuma muticum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227516,227516,Chordeuma proximum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227517,227517,Chordeuma reflexum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227518,227518,Chordeuma sylvestre,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227519,227519,Chordeuma trifidum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227520,227520,Chordeuma utriculosum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227521,227521,Chordeuma vasconicum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227566,227566,Corsicosoma legeri,Corsicosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227479,227479,Cranogona dalensi,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227480,227480,Cranogona delicata,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227481,227481,Cranogona denticulata,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227482,227482,Cranogona orientale,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227483,227483,Cranogona pavida,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227484,227484,Cranogona touyaensis,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227485,227485,Cranogona uncinata,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227486,227486,Cranogona vasconicum,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:1038700,1038700,Craspedosoma raulinsii,Craspedosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227568,227568,Craspedosoma taurinorum,Craspedosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227569,227569,Crossosoma brolemanni,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227570,227570,Crossosoma cavernicola,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:288041,288041,Crossosoma mauriesi,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227571,227571,Crossosoma peyerimhoffi,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
