taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:782417,782417,Aphaenogaster dulcineae,Aphaenogaster,Formicidae,FALSE,TAXREF_mainland
species:cdref:219458,219458,Aphaenogaster gibbosa,Aphaenogaster,Formicidae,FALSE,TAXREF_mainland
species:cdnom:938134,938134,Aphaenogaster ichnusa,Aphaenogaster,Formicidae,TRUE,observed_RMQS
species:cdref:219459,219459,Aphaenogaster senilis,Aphaenogaster,Formicidae,FALSE,TAXREF_mainland
species:cdref:52774,52774,Aphaenogaster spinosa,Aphaenogaster,Formicidae,FALSE,TAXREF_mainland
species:cdref:219460,219460,Aphaenogaster splendida,Aphaenogaster,Formicidae,FALSE,TAXREF_mainland
species:cdnom:52777,52777,Aphaenogaster subterranea,Aphaenogaster,Formicidae,TRUE,observed_RMQS
species:cdref:264328,264328,Bothriomyrmex communista,Bothriomyrmex,Formicidae,FALSE,TAXREF_mainland
species:cdref:219467,219467,Bothriomyrmex corsicus,Bothriomyrmex,Formicidae,FALSE,TAXREF_mainland
species:cdref:219470,219470,Bothriomyrmex laticeps,Bothriomyrmex,Formicidae,FALSE,TAXREF_mainland
species:cdref:219472,219472,Bothriomyrmex meridionalis,Bothriomyrmex,Formicidae,FALSE,TAXREF_mainland
species:cdnom:52779,52779,Camponotus aethiops,Camponotus,Formicidae,TRUE,observed_RMQS
species:cdnom:219520,219520,Camponotus cruentatus,Camponotus,Formicidae,TRUE,observed_RMQS
species:cdref:219517,219517,Camponotus fallax,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdref:52780,52780,Camponotus foreli,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdref:219518,219518,Camponotus gestroi,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdref:219514,219514,Camponotus herculeanus,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdnom:52781,52781,Camponotus lateralis,Camponotus,Formicidae,TRUE,observed_RMQS
species:cdref:219515,219515,Camponotus ligniperda,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdnom:219519,219519,Camponotus piceus,Camponotus,Formicidae,TRUE,observed_RMQS
species:cdnom:264499,264499,Camponotus pilicornis,Camponotus,Formicidae,TRUE,observed_RMQS
species:cdref:52784,52784,Camponotus sylvaticus,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdref:1040552,1040552,Camponotus tergestinus,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdref:199804,199804,Camponotus universitatis,Camponotus,Formicidae,FALSE,TAXREF_mainland
species:cdnom:52785,52785,Camponotus vagus,Camponotus,Formicidae,TRUE,observed_RMQS
species:cdref:219454,219454,Cardiocondyla elegans,Cardiocondyla,Formicidae,FALSE,TAXREF_mainland
species:cdnom:219512,219512,Cataglyphis cursor,Cataglyphis,Formicidae,TRUE,observed_RMQS
species:cdref:219513,219513,Cataglyphis piliscapa,Cataglyphis,Formicidae,FALSE,TAXREF_mainland
species:cdref:815051,815051,Colobopsis truncata,Colobopsis,Formicidae,FALSE,TAXREF_mainland
