taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:237076,237076,Acaeroplastes melanurus,Acaeroplastes,Porcellionidae,FALSE,TAXREF_mainland
species:cdref:374088,374088,Acanthocope armata,Acanthocope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:937676,937676,Acanthocope carinata,Acanthocope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:937686,937686,Acanthomunna hystrix,Acanthomunna,Dendrotionidae,FALSE,TAXREF_mainland
species:cdref:374284,374284,Aega bicarinata,Aega,Aegidae,FALSE,TAXREF_mainland
species:cdref:374270,374270,Aega hirsuta,Aega,Aegidae,FALSE,TAXREF_mainland
species:cdref:374277,374277,Aega megalops,Aega,Aegidae,FALSE,TAXREF_mainland
species:cdref:374287,374287,Aega rosacea,Aega,Aegidae,FALSE,TAXREF_mainland
species:cdref:526138,526138,Aegapheles deshaysiana,Aegapheles,Aegidae,FALSE,TAXREF_mainland
species:cdref:237077,237077,Agabiformius lentus,Agabiformius,Porcellionidae,FALSE,TAXREF_mainland
species:cdref:237006,237006,Alloschizidium campanellii,Alloschizidium,Armadillidiidae,FALSE,TAXREF_mainland
species:cdref:237008,237008,Alloschizidium pruvoti,Alloschizidium,Armadillidiidae,FALSE,TAXREF_mainland
species:cdref:237009,237009,Alloschizidium racovitzai,Alloschizidium,Armadillidiidae,FALSE,TAXREF_mainland
species:cdref:237010,237010,Alloschizidium remyi,Alloschizidium,Armadillidiidae,FALSE,TAXREF_mainland
species:cdref:380028,380028,Ananthura abyssorum,Ananthura,Antheluridae,FALSE,TAXREF_mainland
species:cdref:780390,780390,Ancyroniscus bonnieri,Ancyroniscus,Cabiropidae,FALSE,TAXREF_mainland
species:cdref:237120,237120,Androniscus dentiger,Androniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237121,237121,Androniscus roseus,Androniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:18352,18352,Angeliera phreaticola,Angeliera,Microparasellidae,FALSE,TAXREF_mainland
species:cdref:621802,621802,Anilocra frontalis,Anilocra,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:528844,528844,Anilocra physodes,Anilocra,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:380081,380081,Anisarthrus pelseneeri,Anisarthrus,Bopyridae,FALSE,TAXREF_mainland
species:cdref:937800,937800,Antennuloniscus dimeroceras,Antennuloniscus,Haploniscidae,FALSE,TAXREF_mainland
species:cdref:370113,370113,Anthura gracilis,Anthura,Anthuridae,FALSE,TAXREF_mainland
species:cdref:370121,370121,Apanthura corsica,Apanthura,Anthuridae,FALSE,TAXREF_mainland
species:cdref:647580,647580,Apanthura robertiana,Apanthura,Anthuridae,FALSE,TAXREF_mainland
species:cdref:781033,781033,Apanthura sandalensis,Apanthura,Anthuridae,FALSE,TAXREF_mainland
species:cdref:380127,380127,Arcturinella banyulensis,Arcturinella,Arcturidae,FALSE,TAXREF_mainland
species:cdref:989300,989300,Arcturopsis giardi,Arcturopsis,Arcturidae,FALSE,TAXREF_mainland
species:cdref:18827,18827,Armadillidium album,Armadillidium,Armadillidiidae,FALSE,TAXREF_mainland
